PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-beta.0-release-tars-kubernetes-node-linux-ppc64le.tar.gz,N/A,N/A,N/A,N/A,N/A,
conformance-amd64.tar,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 83ce77955dd17549a82ffa318999c01b7fb0baf5, SHA256: 24229a8dec52266f8854d4711bdd72687b1132be1e007ca4dd3ef72053727fa9, SHA512: 36ed315cd22674d71be07396521d867fde9668b639d3152ca56b12655a5c18dc7e1a26908b4ce201530dd33c055df2fec45098c889606944a1ce472e64ee8564"
sha256:9fce6bd02a21068901a96271d3160c2ce9da9c83c152eeb22312f65226da108c,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-9fce6bd02a21068901a96271d3160c2ce9da9c83c152eeb22312f65226da108c,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: bcbdf00ca3344efb5028c07031ba296e395bd312, SHA256: 9fce6bd02a21068901a96271d3160c2ce9da9c83c152eeb22312f65226da108c, SHA512: 1c02a3564f927b56fded4bb733caf0df1f73171611eef33c93a6d19ee63fb0d1f290c83d841319796eaa0c386f69ec77e7ea899b5caad1a34a1d2b24cdae8ed6"
sha256:00c562532b203116c721c11aee6fe1fe50b5e2068cee2c343c1df1050a866b3e,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-00c562532b203116c721c11aee6fe1fe50b5e2068cee2c343c1df1050a866b3e,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 6552fedf262013cd665655bc42ccbc55bd4d8de7, SHA256: 00c562532b203116c721c11aee6fe1fe50b5e2068cee2c343c1df1050a866b3e, SHA512: d8cadb20964da9ccb20cfd6fe416fde5121d93f56c890ec33de71d4138abfc2ddb4a8efb551edcc6d2eab7d00f4f8c264ceba11591f4392b163bad3e0253cfc2"
sha256:a2e038cc60849b5071f090238d3f725d5085f72408ae2d6285e923e8cfda216c,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-a2e038cc60849b5071f090238d3f725d5085f72408ae2d6285e923e8cfda216c,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: c563d7b7a5908d3f0fc8423084ee3fefa26656e0, SHA256: a2e038cc60849b5071f090238d3f725d5085f72408ae2d6285e923e8cfda216c, SHA512: 8a1415a64afc9470ec96e48d871f5af716808f75e041d3ba23442e6f560e4a3874a2b249e45d4ff769ad814c7a8623356ed0baf54e0f71bb3ee671fec6cbfc5f"
sha256:4bde6c8b3ebbc05feae81deb259f1cd0a3e3275b4f7389a3307d5cdf2de6bdd6,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-4bde6c8b3ebbc05feae81deb259f1cd0a3e3275b4f7389a3307d5cdf2de6bdd6,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 1d1fdc3a2cd4aa3c62ccc222d55e049db9c8907e, SHA256: 4bde6c8b3ebbc05feae81deb259f1cd0a3e3275b4f7389a3307d5cdf2de6bdd6, SHA512: 0c6c76201356f7701be394297f3dcc916674c663320c54d50c72b551bdf91d591ef800b0a39ac10e5d5cee9678300dc77e47eded510aca82338df86fa6eea484"
sha256:e4653adb6dc95c0ac760b3832439d7ce5129590ab9512648b59a2dd7a5f7d7d5,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-e4653adb6dc95c0ac760b3832439d7ce5129590ab9512648b59a2dd7a5f7d7d5,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: fe247332633686bf05ab521db24d921b0bd83694, SHA256: e4653adb6dc95c0ac760b3832439d7ce5129590ab9512648b59a2dd7a5f7d7d5, SHA512: 6ab46e2a0b9899c6eb6a5cf19a61ebebfc1ebd7aa1c226a4cb7b182d8246055aa275478b6f45b1c87f4520a90251bf6b5610b839be327ed1f37b734761999ea5"
sha256:635593375f4611d7b4561e26ec9d3635f96d2a72b3cb85ce057a79ab8348cabb,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-635593375f4611d7b4561e26ec9d3635f96d2a72b3cb85ce057a79ab8348cabb,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 0c2e41c36aec1d35cd028511e40d93009fdf6c08, SHA256: 635593375f4611d7b4561e26ec9d3635f96d2a72b3cb85ce057a79ab8348cabb, SHA512: 719aeaec624b02b990cc1fd65c79b9ec3451577cf2ca97eb998818d9e783e7d513a616a9d7312c34921e12226de4b98269d678bd410e596d73462f4489214401"
sha256:e23df861c215a0a32be00b0b0c0ff0342bfcee07945506caf1bbbaee7c1e18f4,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-e23df861c215a0a32be00b0b0c0ff0342bfcee07945506caf1bbbaee7c1e18f4,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 3da0ffc8c49840a7c6ab8da598a280ab4d00e464, SHA256: e23df861c215a0a32be00b0b0c0ff0342bfcee07945506caf1bbbaee7c1e18f4, SHA512: 41da649d77963c0f3565ed65d3f6dea56cecbedf112128f134442717f87ae6a6212b65a4924610699b56b26b1e8e25c6aa3899b3a4712e2c83b1c28f8fd73040"
sha256:5ecb6e58c222925c2a9b67024d3f81efde725f2997b43ce045addf120fe5bef4,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.26.0-beta.0-sha256-5ecb6e58c222925c2a9b67024d3f81efde725f2997b43ce045addf120fe5bef4,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b2f3e55c13d48fd1908f2ad154c50503100b5603, SHA256: 5ecb6e58c222925c2a9b67024d3f81efde725f2997b43ce045addf120fe5bef4, SHA512: d1c5220429ccc0ce07c04356ef678d2c608f437cffc34d7508e6c34699d590d0939a2b3a0ea831e9922cf10aac1ab8ac8a11c13ed3e7b6f6a5a9af40dae6e2ba"
