FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/arm64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-arm64-kubernetes-server-bin-kubectl,"SHA1: f7b474f765e081b3d6555dc5c66a25296f015261, SHA256: b43199fe66a58f292f2c685b922330819190eb22ac41cc5c10c33fdf9f2bbc29, SHA512: 3e5507e898cb2d72d786941611225b322c587e112045238b02df7d9a3ba83b15829f6ab3657a1f87610ed705de3d6b20c8294a3913a6f0a930931ffae65522d3",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-ppc64le-kubernetes-server-bin-apiextensions-apiserver,"SHA1: 10c11246f063fb70d59f953e6eeb1427d6c4a1af, SHA256: 85becbd090a4557cf04e73bfea214b7f6cd4521411c97b8b88f0e7d3ac929799, SHA512: 1e2c50116b07c59dc3e6ac67702ff8bce3cb545bce01420b110b3cbbf66928c27fd4a08e8c3251b74036beb2edf2cc30b2d0364c39af7f498b30442dadb746a7",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-aggregator,"SHA1: b8d607f07a4865b67a8e1d8870305f3024c86ded, SHA256: 48a774d10e8f855a6e19935b7c9d81b63a3b963e2bd449c99d1ed4483904fb2d, SHA512: 33df76daf836716fcebb45ce7f7223b2e9bd5b690c7ec5f9ab8b291c05bcfb8e719c117e8ab7b4f9f92a78cb1f15011ecaf212ca83a7af2e5d70d2e3a8d86eea",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl-convert,"SHA1: b7dbd36e1cebc8fe696db7c3ee619bc7db3faa80, SHA256: 7ac613172fbdf53d0f5827305e3273c70216bf17ffcca574b1d7d8f126383445, SHA512: f94d51891d679494f131ff818ff5491bb5c7ea73aebd1978510ccf62fe3dcf3ae6dc631ddad739b61cd971d7dbf659d958a07a8dd878862e7719960a182553e2",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-src.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-tars-kubernetes-src.tar.gz,"SHA1: 27432a2f3a1c36690885e344f9cbdba7251dc87b, SHA256: 7627071339aceff7fc2929a8ec27209b626f683f3d22a86cd377917ba43534d6, SHA512: de3514181e2ddcce73168271a94df7cc7c6e9fa1c712159c8d0808708c37eb0fa6bedc43a38d3aafa80f3494e953db241428ba93c2c12e332634870860e11378",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kubeadm,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-amd64-kubernetes-server-bin-kubeadm,"SHA1: e1c3015f57c732a0c996f8d245b7b38080b794d6, SHA256: 0bf8e47ad91215cd8c5e0ded565645aeb1ad6f0a9223a2486eb913bff929d472, SHA512: a112580ef0f7e3aae2425f96e58a1742b1726c14601b2742f13c34bee81f975314df83a4afb9b06120f50898c1176f80fa3ecdfbf5e77d269624d3dd6806d8a3",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kube-scheduler,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-arm64-kubernetes-server-bin-kube-scheduler,"SHA1: f87376a59f9a809513486feaea7f6dbdadb7baf6, SHA256: 773889df997726157decb5b2419f7bd5c9dcb096ada3e23fce0c0ff54809d658, SHA512: 78c4406d6442c2c7e09454979ef190fc36573e88f09893e11d480b5c3fecc1d520d670bbc7c8722deced3eb266918ba4b5e17734435d4b69750cd0927bd11769",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-arm-kubernetes-server-bin-kube-apiserver,"SHA1: 2eb1805e746ffc7321c3c738f18bfb9ce4849876, SHA256: 2ea82a0ead254af1c5ec41eedb734e4853d04596bf4e5c65abf9c769dde6004c, SHA512: 5efccdad7d08e3201a7a432d8577da0322caaece3d64bf23dd4daab6c8dd92920b09727f12026eee99907f688846ac23fbc8a9374450f6afbfb88fce0190c5fa",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubelet,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubelet,"SHA1: 6e236d82b3aadc9b4d9523e6d686cbc89800bbdd, SHA256: 4e64366b96abaf7b45d14c72f6f84fb51c84a66ea0f25e93e50f986e6af7d29e, SHA512: 902ec2bd1b2d8b35e7c797fecb0ad4aea68f3eceea3334fa7e1c6df53ea871821a51d803d233da88767fe09bc2911d7c84344697402b6c075e513a2da983e0fb",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kube-proxy.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.6-release-stage-node-windows-amd64-kubernetes-node-bin-kube-proxy.exe,"SHA1: 5a75d64db9a28e150c21693f4a68a9828aac7662, SHA256: c71777db70d80227647268b6074407acb9d6cce40070bc244eb5ccd5a3bd4c68, SHA512: 9ac8ef4ba1dd1ce156942584100d5b041e864380e8b8db5631e99fcf43a99efd67b84e983c493fd97d0588053ced935bcaa693041dffb7d9a78f42c4a9b24049",Apache-2.0,NOASSERTION,NOASSERTION
