FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/s390x/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-server-linux-s390x-kubernetes-server-bin-kube-proxy,"SHA1: 95f58e4e8421270fc71c5d1536df6d0fac81327d, SHA256: 5a698bb46eeb25ef764345fbb1f148aae05da710a576e8d936d428a53a5060be, SHA512: 5a72b7c9b87a196fa2694595aaf08f0f947d217b7fbecf8244373a81d940ce2c05c270772f38b73d32f6970ddcd85d21479bbeac61bc80be22ece9ba24112c65",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-server-linux-s390x.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-tars-kubernetes-server-linux-s390x.tar.gz,"SHA1: 9ed4fdba482876bdecfc335af2abbb526f02e4fb, SHA256: 747e1ad29015efdb2a1795b021e21a528506bb358e0a85f8f0f82fed896a9c45, SHA512: 191e3f9ef289e5ddc990bdd9def0d09b93fdcd7434b0cab927daf1c95c6fa289c9bce658e21bb9dea6ecda7a23f255f8fa76299052601d9792a305f864e5d5d0",Apache-2.0,NOASSERTION,NOASSERTION
bin/darwin/amd64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-client-darwin-amd64-kubernetes-client-bin-kubectl,"SHA1: dc66490591152d28c4cffa5d1f6da4adf14e64d9, SHA256: b2adb7e85d2224514d41a840c851f47cadec13364465d3b5cc71346d1058b336, SHA512: d174991ded5756e67d49ed108dc95c3905fbbf895106760797fe3da65ca5d4e6f1ce2db22499f2942dea52db3253256a0efeff9bbe51726b3370d9d3c3a6297a",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-server-linux-arm-kubernetes-server-bin-kube-aggregator,"SHA1: 0aaa7ade67d204424ca656296406d2588eb03470, SHA256: 9e59392181c56093f250950deb4de43c66cdb9cd3e8a45c7f9a2c57bbdf5c63d, SHA512: b54af4068778453f0d904f3ce68de39f8ec1bca8d68638fd442970bf43750e6f2a382cb034a170cad802c58b9601131f636ba9fcb8007f296c9da350ac680b0f",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-server-linux-arm64-kubernetes-server-bin-apiextensions-apiserver,"SHA1: dce7bf86e9ed345fa0292b338e3a4fa7567ebea2, SHA256: 425102ffc22bc3621877d8729e4e222cbcdf878d76e2fc23e817e97d2085516f, SHA512: e6c603d602ce74e71bf88e2e5276982e46fd9d7ad8becd96c598d122540528b7be5eb8843dbaf53bfc0be1a11486982718ad3c9ae65af62fabc4e863d3923092",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-server-linux-ppc64le-kubernetes-server-bin-apiextensions-apiserver,"SHA1: e85bc8680cba1c51644df3fd439e13b6705183c5, SHA256: 7451c8c1d5fa59ae75b38376ece781c726333e146c704f67ebaa867127493a8f, SHA512: dfdfcb616054aadf80da25b99ecc4711735e488b43368817d1bb77c9fa533074e086e71070d6594608614d10c12cd758a9bba9aaff25b1b7e78ca7df2c7f9940",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-server-linux-s390x-kubernetes-server-bin-kube-aggregator,"SHA1: d8f8ced31d52e55851f12f9b5780800e8a43c934, SHA256: 4ad4a94890ab93567514d62757b6706f7c884fc7212ebdca59c919b1b6114d9b, SHA512: 1d5a553dde10e094725a988ba2bb25ee1fc43c096376dddc0c579bb4bb648e449b924582de5ca6d863ef2e5336cb0a41cd12837cf3c68a52b79e0b033e0e9f0d",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-src.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-tars-kubernetes-src.tar.gz,"SHA1: 5f2de8b141c1b6ba5e61c2b93e111531d35dd821, SHA256: f73785f1d8f1121740b6af61a804a5041c0fb622c8d6491e0c49d86b978cf809, SHA512: f70e11e17991ecf3899e8524db22f165155e76cf01e969f4b4c0be0784dbd1317dface47d26975cf65b609e2d94b2693ca97e053660524d9e34b0c9e0f0cfc71",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-linux-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-tars-kubernetes-test-linux-arm64.tar.gz,"SHA1: dc026f76225b26c04667bde4f20141b228f476c8, SHA256: ec33e9903fba2e50e0b6b5ce40cb7c3bfc1c5824475fbeaaa04bf037905fa04b, SHA512: c5e8f36adbf385f9c3e8934e2ce9fced2b824004388bd4452caffbf457ae4391a30d9895aca013d01e6de51a562f461e13a86e6fe9516f4ee15a03745d378474",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.22.14-release-stage-server-linux-arm-kubernetes-server-bin-kube-apiserver,"SHA1: b6890c3e8d4005b9742c8e7d5ebf535a0aae2d93, SHA256: 282a030f82e6621678180cbff4bb691746fd8d99a0f4b1192d2433802902b523, SHA512: 171c122e2a34a3bf93acadbb249006ff16ea32b6cb8af8bbfdb054448566616570c7c9c2b69191478266b89bc9b897f56a028869a0357b15412b4c3dea6d2612",Apache-2.0,NOASSERTION,NOASSERTION
