RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-3a81ccfecf2f50b
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-6a18574d77f4cd6
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-4347c7ef1cf494f
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-b0e2a84e37183b3
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-253d369b9bb3fcc
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-a88d9d6964f1501
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-affdeaabe4adca2
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-a576cab6c6f9e1e
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-90d9582e31b5292
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-564c4d058ebf952
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-3c6085a717cf692
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-c322a31e9c63f67
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-c706053eadfbd9e
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-59c0072ca81c56c
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-247a8203b142b1b
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-d8eb3762e1faa5f0953e746ffcdd05085a1ce507
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b536dac960609bc3995520121f452e4acab93209
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-a6c1327707b6122113e1d2a10f9ad13784439f64
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b7c426268b5c33a1892271db6aea227cabd9dd2f
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-785f9c52877d06f8ecf472b98aac525f291d23be
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-0ecfe7e0f9c76a3077bb5fc5b817ba262336b89e
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-5ade9502a82a6f863fdc092aa0f9ae186888b396
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-4844d80c9989d81f500424a9e3df5830317818a7
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-5bd6ad40833dbc879f2fe289cc991ce4614a41d5
SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-22da8e521019342e7b0305fb4bd824829b1b189a
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcrioconformance-amd64v1220-alpha3
SPDXRef-Package-k8sgcriokube-controller-manager-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b7c426268b5c33a1892271db6aea227cabd9dd2f
SPDXRef-Package-k8sgcriokube-controller-manager-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-b5d68f8e18ea9847a11529c14fde932f69be8b7a
SPDXRef-Package-k8sgcriokube-controller-manager-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-d3848b096aa79be5b5a8b5c5b54e641b5c532fda
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-controller-manager-amd64v1220-alpha3
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-f2251044c5920813c21a0e0946b0682d63198b88
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-3cddec0cb34f76cc6cb1ffb9ca74eef16cf76731
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-097b178625fd3c771cd20b26909baab1a5b67e4a
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-320e7ce5bf0e2df934ea76ebcebb466bfa82738c
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-3b1669b257dacd142450e31df16651cd58856c08
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-358e0f21571b80d456c28f2fcc44d7094a825b4f
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-1b44f1bccd27f3f3441b1830112d0da00e3c08fe
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-5d0254ac637f284690d5a34bcf9b4b54d8ce2a75
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-ba3089a983b442f0f1090a3e6baf66337b0918ae
SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-d3b59d7f6f512a1a7356d6cbd5462fec99017adb
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcrioconformance-ppc64lev1220-alpha3
SPDXRef-Package-k8sgcriokube-apiserver-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-f2251044c5920813c21a0e0946b0682d63198b88
SPDXRef-Package-k8sgcriokube-apiserver-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-4a59d6dd56b6f6eecd3a529d171292a6acaa8e4d
SPDXRef-Package-k8sgcriokube-apiserver-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-3c3a5c5e59f1e178c55cac663ddb2532e6bf47f0
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-apiserver-ppc64lev1220-alpha3
