PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.7-release-tars-kubernetes-manifests.tar.gz,N/A,N/A,N/A,N/A,N/A,
kube-proxy.tar,SPDXRef-Package-registry.k8s.io-kube-proxy-amd64-v1.26.7,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: aad8de42acf7521eaab68665f9fc8db77d5d9b38, SHA256: 384a7c129d40dc0b6884d24a490e2917ed8bd9a3d2f6f9e540a1d16b57dc1cc1, SHA512: 24083e940d6738661f8bb047148de6c97cd5c50352aa44ec51da02aecf12d97c57d098865ae51446c72eba4481ade8ce2b21f6499b382c8778f87440402e72f4"
sha256:8342c4e13d7fc5e510dc33a371c0e16b6bd0fec936eed3331af6ace0e3561c50,SPDXRef-Package-registry.k8s.io-kube-proxy-amd64-v1.26.7-sha256-8342c4e13d7fc5e510dc33a371c0e16b6bd0fec936eed3331af6ace0e3561c50,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: fb63d00aabd1a7835afc97a95f66ca1d4175e8c0, SHA256: 8342c4e13d7fc5e510dc33a371c0e16b6bd0fec936eed3331af6ace0e3561c50, SHA512: fee348757ad0306f46ce5f9226eb737f7faef8c69ac9dd5b99c658c79891f0a330c53d30f694ac77c51635f475ef9fc2dd831f392f4c98f86f0e23907ec6a026"
sha256:f6aae27fa18f586c6d5e0c0e484fb49705a42f5523d7a6d00e52c05c578dd6ab,SPDXRef-Package-registry.k8s.io-kube-proxy-amd64-v1.26.7-sha256-f6aae27fa18f586c6d5e0c0e484fb49705a42f5523d7a6d00e52c05c578dd6ab,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d7a955a8798ce76e8b24f6596a00365f310ec013, SHA256: f6aae27fa18f586c6d5e0c0e484fb49705a42f5523d7a6d00e52c05c578dd6ab, SHA512: 4042209f3215e913eb5880121f5d4793d09ae073bd6a0fef92f431567b3246c8eb2b5ea44b3922847c2b7227d0dd209eea4f8ec37b473cacd03e39ea6d7822ce"
kube-proxy.tar,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.26.7,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: fcba834968f3fdf33cc5859e63c358ea77da627b, SHA256: 72292ce2da622be096b4a62be9502fc0c4636d9061252682f5657ffb3ba8e3b3, SHA512: ac58a3428aea22384f2422a917572a504171aa53b2421561d464730aee10109affb1b7f3225405e952a6eb83b21b6564cc966a2e0b7e45906c3b7a7a45f6991d"
sha256:99ef1079caff7c810ac351196e5fe095840fff3387140011db70bc4c432e76fe,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.26.7-sha256-99ef1079caff7c810ac351196e5fe095840fff3387140011db70bc4c432e76fe,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 30d5a8eb0168f198aada4d49932d865f7285fcab, SHA256: 99ef1079caff7c810ac351196e5fe095840fff3387140011db70bc4c432e76fe, SHA512: a5affa04e146f6eabf0dee9a17d71ea4d2b39dc0727ceb77b28f9d0827cfff7f3717f01ee9f3a820545bdb2521ef2060db3617d80f07efdd56b5206a7304259d"
sha256:2ca4e10cd6bffd653478c2b25812a8362eaaefdd65b91c3036554dd23ee03c6c,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.26.7-sha256-2ca4e10cd6bffd653478c2b25812a8362eaaefdd65b91c3036554dd23ee03c6c,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 8d17d496bfba54adf81fb32512b5e6d5186d4e7c, SHA256: 2ca4e10cd6bffd653478c2b25812a8362eaaefdd65b91c3036554dd23ee03c6c, SHA512: c1d521d985977063f528fbbcdaba33f3b278faa26de1ad9cebaa7faffa1ae4b3e6adf6c28c408a13e338ad261dccb46990fb68b5b3f1fb7d12e3e2b0bba9c597"
kube-scheduler.tar,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm64-v1.26.7,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: f3b2e27d4967f5b74a6cd835549c010204887024, SHA256: b2c9634dedbff3297183130b6daed3c18f80f20a432f5d234069a6df44fcb62a, SHA512: f2381b7eeb3db21a713188816d6a91bb72598e9e14425d389d13d4c45501d312480ebc52d7dde7295cbf5c68cc0a3d021786a080f959417f9563067a7315efa5"
sha256:20655aa3102c1c697b4d2d360c63d6bb2cedf989c58fe1adac1e59bb4bfa8f8d,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm64-v1.26.7-sha256-20655aa3102c1c697b4d2d360c63d6bb2cedf989c58fe1adac1e59bb4bfa8f8d,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 15a6cf24879310d72033d8023cf76dc57ff9d0de, SHA256: 20655aa3102c1c697b4d2d360c63d6bb2cedf989c58fe1adac1e59bb4bfa8f8d, SHA512: 57703e9b0dc6d639888d9b8561a218b59ae6e2c7ec24fec32233629052b30e4c0dec06df31f7650a258a54c7cfdd677109ab03b5c6431850409c2ef2d4743229"
sha256:6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm64-v1.26.7-sha256-6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 74f9e4ca26ac1537d26f3c88e3a45374c8114584, SHA256: 6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa, SHA512: bad6b59aa3f25c86f45447392b3df91b7588c6708d4de509d1968fefc30b8c09c5e805942304820b16c23d11454bf6e90794df619f11ad3020349c5832c4b66b"
