NAME                                                                         VERSION                                TYPE      
go.etcd.io/etcd/client/pkg/v3                                                v3.5.7                                 go-module  
go.etcd.io/etcd/client/v3                                                    v3.5.7                                 go-module  
go.opencensus.io                                                             v0.23.0                                go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc  v0.35.0                                go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                v0.35.1                                go-module  
go.opentelemetry.io/otel                                                     v1.10.0                                go-module  
go.opentelemetry.io/otel/exporters/otlp/internal/retry                       v1.10.0                                go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                            v1.10.0                                go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc              v1.10.0                                go-module  
go.opentelemetry.io/otel/metric                                              v0.31.0                                go-module  
go.opentelemetry.io/otel/sdk                                                 v1.10.0                                go-module  
go.opentelemetry.io/otel/trace                                               v1.10.0                                go-module  
go.opentelemetry.io/proto/otlp                                               v0.19.0                                go-module  
go.uber.org/atomic                                                           v1.7.0                                 go-module  
go.uber.org/multierr                                                         v1.6.0                                 go-module  
go.uber.org/zap                                                              v1.19.0                                go-module  
golang.org/x/crypto                                                          v0.1.0                                 go-module  
golang.org/x/net                                                             v0.8.0                                 go-module  
golang.org/x/oauth2                                                          v0.0.0-20220223155221-ee480838109b     go-module  
golang.org/x/sync                                                            v0.1.0                                 go-module  
golang.org/x/sys                                                             v0.6.0                                 go-module  
golang.org/x/term                                                            v0.6.0                                 go-module  
golang.org/x/text                                                            v0.8.0                                 go-module  
golang.org/x/time                                                            v0.0.0-20220210224613-90d013bbcef8     go-module  
golang.org/x/tools                                                           v0.7.0                                 go-module  
google.golang.org/api                                                        v0.60.0                                go-module  
google.golang.org/genproto                                                   v0.0.0-20220502173005-c8bf987b8c21     go-module  
google.golang.org/grpc                                                       v1.51.0                                go-module  
google.golang.org/protobuf                                                   v1.28.1                                go-module  
gopkg.in/gcfg.v1                                                             v1.2.0                                 go-module  
gopkg.in/inf.v0                                                              v0.9.1                                 go-module  
gopkg.in/natefinch/lumberjack.v2                                             v2.0.0                                 go-module  
gopkg.in/square/go-jose.v2                                                   v2.6.0                                 go-module  
gopkg.in/warnings.v0                                                         v0.1.1                                 go-module  
gopkg.in/yaml.v2                                                             v2.4.0                                 go-module  
gopkg.in/yaml.v3                                                             v3.0.1                                 go-module  
k8s.io/klog/v2                                                               v2.90.1                                go-module  
k8s.io/kube-openapi                                                          v0.0.0-20230308215209-15aac26d736a     go-module  
k8s.io/kubernetes                                                            v1.27.0-rc                             go-module  
k8s.io/release/images/build/go-runner                                        (devel)                                go-module  
k8s.io/utils                                                                 v0.0.0-20230209194617-a36077c30491     go-module  
netbase                                                                      6.3                                    deb        
sigs.k8s.io/apiserver-network-proxy/konnectivity-client                      v0.1.1                                 go-module  
sigs.k8s.io/json                                                             v0.0.0-20221116044647-bc3834ca7abd     go-module  
sigs.k8s.io/structured-merge-diff/v4                                         v4.2.3                                 go-module  
sigs.k8s.io/yaml                                                             v1.3.0                                 go-module  
stdlib                                                                       go1.20.2                               go-module  
tzdata                                                                       2021a-1+deb11u8                        deb
