PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.17-release-stage-client-darwin-amd64-kubernetes-client-bin-kubectl-convert,N/A,N/A,N/A,N/A,N/A,
kube-proxy.tar,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.24.17,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 4d636be1e38cb6c7bc6f260d07cf3f63cfef7370, SHA256: aff5a809703ee0a469c0ea0f202bfe58f52a801836d9a63dd40a62a5aaf47e7c, SHA512: f242db8e70769f9b6777572c9e5c97c50adf30f0ded07def8966f93cc83582dc3cb857aaf78dc114cf75a72a33395825876242bb84ee8dea1b62388e4918448a"
sha256:02a763bff6a46925b098ce93a66855bc2c121f67a564d68439e4147dc5185de4,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.24.17-sha256-02a763bff6a46925b098ce93a66855bc2c121f67a564d68439e4147dc5185de4,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: db7bd27b72b0688007c63ea32bea4a347912e49b, SHA256: 02a763bff6a46925b098ce93a66855bc2c121f67a564d68439e4147dc5185de4, SHA512: 68dec724c7f43957e0498ca033e98cc9ceb26f6e88a17c93d64e1752838b693088c63122124aaf4ade7e753c795f853583f93a36072948b6d6a8ee6a21b825b2"
sha256:6af4a6f635a1c3343215284187ba11e96f68d992b735eb7aedada93739efea0f,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.24.17-sha256-6af4a6f635a1c3343215284187ba11e96f68d992b735eb7aedada93739efea0f,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: f52865e90e3fc3fcf3576ad53ef001ef4675dabe, SHA256: 6af4a6f635a1c3343215284187ba11e96f68d992b735eb7aedada93739efea0f, SHA512: 729c000d91336209d662c698032234ae561be7f2bdd6d19e937bd7100716625827bc6be67a2f3c93a19aeb7eee7f9629e53c41af1ae0bdf80ca8b8d73ee57ac6"
sha256:a0c51e77b08814ab628447b4175d6d86f27bd0ebd40ef98da5291df261ca9d69,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.24.17-sha256-a0c51e77b08814ab628447b4175d6d86f27bd0ebd40ef98da5291df261ca9d69,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: e7679e98aa9213a4ea23eb598c277d6fd580d325, SHA256: a0c51e77b08814ab628447b4175d6d86f27bd0ebd40ef98da5291df261ca9d69, SHA512: 363ca11963aa8f4b11df0baf999df97ae29f0d17be9abb37a9ef11b8245de2cb820b20271cfab0fabba54d220c9c12734534ca9ab3ef939f44eca36910afd805"
kube-controller-manager.tar,SPDXRef-Package-registry.k8s.io-kube-controller-manager-s390x-v1.24.17,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 46b85b6cc6d38c0491fe267456df8156d9ba490d, SHA256: cb920b624a5c5a93d662dbb95f1eee78586787aa1261aaf0e8f367a16c002d90, SHA512: 6ab120a58cf0d296b4607a223df4adc81f4c621051109e9d260c8856a5d377210a04fcbfa5146440c2772fa9310f6068f67cc2eae805ff0832ed6adec929178f"
sha256:b43509775c23931149eb00de473c4c75263731dcb08248883970bceef97ea45f,SPDXRef-Package-registry.k8s.io-kube-controller-manager-s390x-v1.24.17-sha256-b43509775c23931149eb00de473c4c75263731dcb08248883970bceef97ea45f,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: c2790a3f4e551a9284068a077c73ffa509e2c7f6, SHA256: b43509775c23931149eb00de473c4c75263731dcb08248883970bceef97ea45f, SHA512: 64f00a95574d3acb4b68a27699af048811b76ccc6fd74fb531caddc44893bb99de691dba692372105afa53cbd870d84a255661fe8d7f566689a3d5ccb699ce17"
sha256:6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa,SPDXRef-Package-registry.k8s.io-kube-controller-manager-s390x-v1.24.17-sha256-6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 74f9e4ca26ac1537d26f3c88e3a45374c8114584, SHA256: 6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa, SHA512: bad6b59aa3f25c86f45447392b3df91b7588c6708d4de509d1968fefc30b8c09c5e805942304820b16c23d11454bf6e90794df619f11ad3020349c5832c4b66b"
sha256:7bea6b893187b14fc0a759fe5f8972d1292a9c0554c87cbf485f0947c26b8a05,SPDXRef-Package-registry.k8s.io-kube-controller-manager-s390x-v1.24.17-sha256-7bea6b893187b14fc0a759fe5f8972d1292a9c0554c87cbf485f0947c26b8a05,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 98247565fbf190464e96b648e0c4dcf4ad1bf597, SHA256: 7bea6b893187b14fc0a759fe5f8972d1292a9c0554c87cbf485f0947c26b8a05, SHA512: 406db7aaa383b170be858052fbd7ab42753ffaa40f6df89ba9cb8580a0de5770bf6c57099a1e0a0c236212eb78c1912920c68d616dc0e4492ee41eeab8b01190"
sha256:ff5700ec54186528cbae40f54c24b1a34fb7c01527beaa1232868c16e2353f52,SPDXRef-Package-registry.k8s.io-kube-controller-manager-s390x-v1.24.17-sha256-ff5700ec54186528cbae40f54c24b1a34fb7c01527beaa1232868c16e2353f52,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 96a25a5d2d88c2676a2f8615c31d2350e3044dc2, SHA256: ff5700ec54186528cbae40f54c24b1a34fb7c01527beaa1232868c16e2353f52, SHA512: 710631122a03c57087aed9971fe5915fba5452539a95ea2cfe0ef2904220de1afa49ec266c9613ac20b25f881e9a562a71c6a53d2177f20bddc0765c88286e1d"
