FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/arm/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-arm-kubernetes-server-bin-kubectl,"SHA1: afd7cc000e78740f3dd9023f6eca3875ccd6896c, SHA256: 69fccd21b6f7a27d96cda7e6e0cfd3741e3a5bcd7348f2f6e2e9c7550809f030, SHA512: cfe6fb4f13d78ed712f8b48b4dc65eab87e26f2a1c9fd0af73808f3d1cd40570859d1f41e1885e73ce03ad98388c4e0ce9ec53968815ae888d835a88e8a4e8a4",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-arm-kubernetes-server-bin-kubectl-convert,"SHA1: 5af22e4d2d9cf7e15ee2c36ac712139b6d626dd1, SHA256: c1a2a4473b0e9f69f03735d37b0d6adab44aea595366416ed5338e008e0707d4, SHA512: 24a963506cef15d38cccf4d2ede263b6ccccb281b29ff68fec687245cdb60f89ff34a4fe86d020a8f907b5aad766a0482f5d43a8e160f712ef3c96241d94b518",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-windows-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-tars-kubernetes-client-windows-amd64.tar.gz,"SHA1: 7bc6a64017d5c30d60eb707197124e1f9c617049, SHA256: 4568e59df08e3b9b3edd393d993d60188df8f659ce5ce04a6222d47d96807be2, SHA512: 9214fab06d93d4e3afaad4c34a39fb732d0eb3ec7aaa30d83dfc0ce38aea31dabdd2794f80af0a428c399400ecfb093931458d1da897470e9aac36f46068fb07",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-manifests.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-tars-kubernetes-manifests.tar.gz,"SHA1: e1ae0c46a09f01616faabeb4dafc45195f59c223, SHA256: 4a735cd336d2777649c64f742ac0bae5c3ee99253804ed96058aabfc167ea2b5, SHA512: 054223d16bdc04771f561cb3f68337011859db5dba597cee4cb9ab79b160cd569be059d58b81d1417aacecb1734b9874d00a15f8ac570f87c2c4a02f757eb84c",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-linux-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-tars-kubernetes-test-linux-amd64.tar.gz,"SHA1: d32e4f036ee51cc6d746cd5ccb58a14071923ef7, SHA256: aaa48816fa603077d70cec5b4c05fd6af00f5976a87a4b49ff163376f2d36fb6, SHA512: ca4c881c0c70f9bb044e84fa740a1108ddad35c1fae3d5818bc464a8de28a07d4bb7bc249d2a81270a5915a1c007e55a2cb8369c387e08573a58e1e4f60bc26a",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-amd64-kubernetes-server-bin-kube-proxy,"SHA1: c42f359f04853ce5cbacefeee4d0a60683a2e7de, SHA256: e99b753d81250b388b5e540fea8889ee88ad9e3769f8097276c7ee82d80c032c, SHA512: a478537de0ac871027275dd4115c330ce79c221cc7efb67218e60ff38293b3c1e620d294f9178646123f4506b4504766b35f594cd4d02a1b7aabe9c205b04e5a",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kubeadm,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-amd64-kubernetes-server-bin-kubeadm,"SHA1: 7b2f579d06d00d545b2dc279df837d3c9d3e7ae6, SHA256: aa1a137aa2c3427f199ff652c96b11d6b124358296996eb7b8cbde220607b2fe, SHA512: 645e15b65d7e16c13d62aa879343676666f40e53e954a047693f4b25ade2281b89ed2ff530eb335398e190553539157b1b4d8087f7e8e4978bcfec1da9f4ca3b",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-darwin-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-tars-kubernetes-client-darwin-arm64.tar.gz,"SHA1: f1f8891ac9dca29072e5f2b599e66a81b9d74b89, SHA256: f4ef3bcb18c8a4b12c523914643e6bb12b889f45e85c127a132b91e9578521d6, SHA512: 17f3783758cde6ea566ebd02f3b62b067042123d11ff8039cd805910414601d0932b48e80a774f0ce5db733a9712eb2337708f708493a7f7072f282bbe014a88",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-server-linux-s390x.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-tars-kubernetes-server-linux-s390x.tar.gz,"SHA1: b9433299d89691b4dc5f602669d68a68eb56246a, SHA256: 7739518ac71815cda6e8054876bcd7f36bd3d5be694e1d4ae0f9708850adefe7, SHA512: 88f592a01207777662023bc15a88f5170a4f256e212a258a68e014be05230e02a4992591951b2f843ae0c9b4ad5b8ed032a208379e2b675e4172835f1f4b42fc",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kube-log-runner,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-arm64-kubernetes-server-bin-kube-log-runner,"SHA1: 83e3bc7b1eb35b1028b9a5cbfa9196ba3d4db0a9, SHA256: dc91190be45142b7fc1261593630df4c103a49023e5ffd2c430f136d9aafba26, SHA512: 6fcbb9c0ccebabb05998892fe64843feea143044f045a98f2a87c088ea3fb2e95066e9b584a64151b7ded26838aaf671a188d8f22ace47fa9d584f163aebd6d9",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl,"SHA1: 34835e66e624a3ffd87a634aa03c892e10a466d2, SHA256: 4f5686ea674d37a639389d95c2a32661986f6f06b530076da2b178839b213414, SHA512: b067d2f39d2389caef25d84509e072c7989ede721fabc2f64af263d146ab3b9d58a1a29562d318442d3ee14091fb1c6aecdb5ca1569eba8407598914fef72e52",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kubeadm,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.4-release-stage-server-linux-s390x-kubernetes-server-bin-kubeadm,"SHA1: e1605bb901c7a0d038a1d4d717ff8b93b5c47635, SHA256: 2d0284752270e752ddc3818e5489e5addf909a136d1444ebaa8e2d5656b7197c, SHA512: 65a21e28405a0fa0e37c84a459298f54df2b6da4455f37f0e453ddfbfcee9dd96698dc9f981ceb83a02183abe39de600071648b56f3719a1a9e18ebcbb249ca1",Apache-2.0,NOASSERTION,NOASSERTION
