FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/amd64/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-stage-server-linux-amd64-kubernetes-server-bin-apiextensions-apiserver,"SHA1: 8c43385a58d051a846fc3b2ebabfcedd4060159c, SHA256: 38760ce25cf641b2f0ee831b54e5c4c10bac12f8cba5f3720a7063b9b678e85d, SHA512: 4268e1682538da87c20972b54eee137f0aa0511bfd90cac7544eee98f9ad04dc87897ac7ffb8fc5a70f3a39c9499358017542bdbc0662412a819a5452f2f3c38",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kubectl-convert.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-stage-node-windows-amd64-kubernetes-node-bin-kubectl-convert.exe,"SHA1: 18b582eb7dea95ac52ceb5871b2d8e0227a213dd, SHA256: 5f6d5654be1b22c9b912aa8551a8f804abf5c5ec51f464a63af6d57e3e0996e9, SHA512: f3d02fd417e1f0dea68534035305d2fc7b9a7011e4b57e7b6baef38a32753d0f328b73d5263334ed5a98be701a1d049ecab565c7c98ef64a2ded2b03347265eb",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-linux-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-tars-kubernetes-test-linux-arm64.tar.gz,"SHA1: bf23839b778c308e0c2c65b7f3a61791ee580b38, SHA256: 23a5409c5a9e93403a3406e5a697044fab61141b9303e16335446fec36171489, SHA512: ba0426d6ed029f55de48b4ac5e25605d7e8bb85a66f630ec27d65cd8d5421b549f6ce3f1bd47dd30948adda71aec75c6892ef5f9b2347a8ca64cd4ba9d474525",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-stage-server-linux-arm64-kubernetes-server-bin-kubectl,"SHA1: 57e481ee8d95b73fc5cb4e51c7fb4f46a849b1af, SHA256: f945c63220b393ddf8df67d87e67ff74b7f56219a670dee38bc597a078588e90, SHA512: f4e4e6fbab18b2093f430eb317b018a6eaa23c630543691d9788cc48a51e62786dbfda42c9ce5c6dae13effdb9f22b9e60cf413cd62c1f52a1583343f8322cac",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-darwin-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-tars-kubernetes-test-darwin-amd64.tar.gz,"SHA1: 846f4287f27dbf0f7c94a9ac4739eb29db519797, SHA256: 1cc4a9749d5b55ea101a04094379522ce4a9d3d78edd18de46a5c4084a712e8a, SHA512: 1b0d8c1301586b760c34b15f04c1c8ac2c3a84ae59f0c32524863901d6315c24023156768ed89203ce8f2e7d03c568b4742b89d64026a04b48dfd1df6d5ec8c2",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-portable.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-tars-kubernetes-test-portable.tar.gz,"SHA1: 1eee0e100b665a71fe68cbbb216293577ea2dc6c, SHA256: a8bf7015c0e6e5da6622265bf4423e0c25e598f39023e8578469a6a7b9aa5a5a, SHA512: 391d36eb46aa5c112645d954e8c0dc94cbabfe8f360efcb9c4676e0a7d1216f173702a4193a73a70e352fe56836c2cb2888652bf699a8082c734f593bf6cf3f0",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-windows-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-tars-kubernetes-test-windows-amd64.tar.gz,"SHA1: f61f8c3f0f04c3687b963b3af97322878d591b6d, SHA256: 6c30d152758d05c66554afefb4a58fa0c48324f4a69e2147078896c32845ec77, SHA512: e8b476a4e37629522ac188f7ba441c7ee24065fc379a3a964e10ad76b7c92fdd5a3194d4b3d4dbd7a47c6ba46dafc0ac83795680b8019eb23e89b8bb7c76b1e0",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-server-linux-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-tars-kubernetes-server-linux-amd64.tar.gz,"SHA1: 0c3ec0eb2b1f6385a39ec187272cbd61c52a7f97, SHA256: ebec54e07b784270e21cd423e7a89a66be3fa9897ef69f77cb41999434a25739, SHA512: 70f7a1792c44ec3cc55ca2ab2d4baf9bdb2ef65e3e95f0bd16698d01243a4955e7b1a8a7b4ec6d93d1f93bea30f4fc9aeccdfb61446d30ce0088ea6d2ae4a695",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-tars-kubernetes.tar.gz,"SHA1: d98b6d4b89e6490623691fe3376a76268213a3c0, SHA256: 518fef0f032e81a614efa6073b8cc1091bf8eeeb812b8854143d9f9b7ccc1258, SHA512: b3c250c125d1851a8eb83022d0a32ee6906ef8c7ca405ed481da950401c87c4c00dd5db35583b2db5b1bc8857c0ec768b77d145885c02fe5288b792f72cc3732",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-aggregator,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.9-release-stage-server-linux-amd64-kubernetes-server-bin-kube-aggregator,"SHA1: 88cf2d4715e5bce830984ae24a35725c6e364c99, SHA256: 2d28dca070753bfd370c57a6277da0d11a110e1b976c1d4694831a7e12743853, SHA512: 235016748e5d1fb05f290fe39c263c7034045827dfb2929e1e51b8fad9839b0cf7eed59c92f21b98426baab4a795b4bdf91ad2f9e968ce7114544ae76208bdb9",Apache-2.0,NOASSERTION,NOASSERTION
