FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/ppc64le/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-proxy,"SHA1: 23e47e580a70ed8206cd79c37e65db1435d3bc25, SHA256: 9ca79e29a3c3f00e8bdb3280b2c17457f90a67f99f1e0b8ec0e51cbe9e66c525, SHA512: a3d6dd2571f245ba1e2e4c81a6ab48edd2118ce33059b5947dddd50c7e63121221e2bc22a812f063abc4f5ce08b22ff10ae6c154264a6700f35e91b8cca9f697",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubectl,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl,"SHA1: 1543a752f51837f2aa5ee6cca18221fbe9a92373, SHA256: eb65ba7703560fbd58de393749641d3b67521e00b6f295b13d4d4a09e33c4a92, SHA512: a8f5e2da2783a75bd05e8daea7f07d4209fbf3b100b0d217ecad0015d3e26d1a3db03ac93a0f868ca63b6597ba81f5e99d2e429f52b73fdf15bbe9f63bd42cf9",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-windows-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-tars-kubernetes-client-windows-arm64.tar.gz,"SHA1: 1cea42aff4edf4035825f359b522e8469fbab0d3, SHA256: 18d4227da3d41fbd3339879e898aa2f86a9f27add7966a1af4956c5d861b00a3, SHA512: c54b0a367e655842af4785a181dc366b3872fc8322495cfcb309518a854f87ed1064ed1c0a72fc663c31c8de7801fd041f0f05f7b788663c5e6941fc1313bcae",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-amd64-kubernetes-server-bin-kube-proxy,"SHA1: 5620cbffd8e3c93e18ac920505dec502f06ba231, SHA256: f7dde9182d7aa2f0a6c072572e9977e5d8540d1e672ece3005d92f9190825518, SHA512: 1d3ee435ec9ccd50f49bf670f8a05a2a3707be36a43273a73bbe49190ac5087dbc4fb5e210b00ddd52c1b032af2f8b211aa8e466c0161cea45d06869256be035",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/mounter,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-amd64-kubernetes-server-bin-mounter,"SHA1: 08195e7b1b95c9a41be079395d3257c73ec2c5ea, SHA256: c50fa30f9d7e44c17b53f494451f84843f5b0e6754ac0ff7f2f88f9bf787eb13, SHA512: e9db12ca49412e00f244e1ccd2d56792ac53a38c6039991ed8e7853776e617260dc2ffa408310db870909cb894feeddd8ba6f358c0d67a4706c1e1ca61133265",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kubelet,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubelet,"SHA1: e59c4b2e8ca31749030069f71f58ab68a279bb30, SHA256: 284f75c7a21696c76f77e2a9283b3ee00748508dad8dc35e3c951b0bcda17f38, SHA512: 4c90cb40d63ef0b336ce6639432fbeb2af4460fcbd09d851600aae27b6e9fd81a284455e62b3d14dae3c6f3b61b11b7f6e9efe3cd69a1089cd650434de75febf",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-linux-arm.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-tars-kubernetes-node-linux-arm.tar.gz,"SHA1: 1fd1ba401f7734ec8aab845afa30845d16ff5f8e, SHA256: d8b5410c04791966e77c3ad65353b979e4e68eca31e965dbfef6a091a6a9c07a, SHA512: cfa1033c9caec034018503887e59013110725cde423b43a6f774900316888442d060cf9d9bb7d84286eea4f53b1bea409390540438bc363207dc962b083008b0",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-darwin-arm64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-tars-kubernetes-test-darwin-arm64.tar.gz,"SHA1: 4c98ecdaafd837c1ef0d6a3152514e69b1d73a73, SHA256: f4918e0a23fa759dc555b471c58a8a37154c187681413845bf7fbf6a6c7c7642, SHA512: 78b7bf7dcb47bae01935fabf97c21cb144b4c01904318c89610ae4fadd7ba5bbcda0a923ea2c153b0ad9d66d6c8c20493acd58b9f9eaa39f5d9ca9e99a995d94",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-amd64-kubernetes-server-bin-apiextensions-apiserver,"SHA1: a733b25831e4f2686acd5955e95c2bb2054bfcbb, SHA256: 483644e1bef8eb390274a077acfac3d21c9ae3ceb1167efb706e539ff9a7efbc, SHA512: 0932013edbe1a0bce1043447f7f2007e7b1d4c24d930657e0be42a0138c2fe8f5f9c56c31837c073be2413e449cdf18d7867c44b95cb27c8dec27171a01e4660",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kube-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.26.0-alpha.1-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-apiserver,"SHA1: 3291125eee0601e9d4e2f2ee2f0a40fb03fa62c9, SHA256: 520152b4d41751d9107cd988e491cbb900dc9e22e20afa2dbb32a514795f7b50, SHA512: 2b163ea42b7ebbe178bb23e2af735557a7be0004c4d27a3bcefd47e9953bb42973a7adc726dcc3ebfd6683be93476f72d85f65c604cfa0343a6f8330c6dfe7c7",Apache-2.0,NOASSERTION,NOASSERTION
