RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.10-release-stage-server-linux-arm-kubernetes-server-bin-kube-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.10-release-stage-server-linux-arm-kubernetes-server-bin-kube-scheduler
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.10-release-tars-kubernetes-test-linux-s390x.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.10-release-stage-client-darwin-arm64-kubernetes-client-bin-kubectl
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.10-release-stage-node-windows-amd64-kubernetes-node-bin-kubeadm.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.10-release-stage-server-linux-amd64-kubernetes-server-bin-kube-controller-manager
SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10-sha256-58fb86bf4ec691d771943aabbb6887493b764c11c3c0d785e67051a7c2300553
SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10-sha256-91116927fac15da9c7a683d5e4531042757a913019f614bad927e752a1b878b1
SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10-sha256-f928c76e96d80760da473286dd00d0092e0b23ef6ca65e58cc4b275a1c6f07ed
SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10,GENERATED_FROM,DocumentRef-kubernetes-v1.24.10:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-controller-manager-arm-v1.24.10
SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10-sha256-d6438ca13c6311eb9dc0818d7ae45cde32d9fb515f98f926971a60e4bbf12217
SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10-sha256-4d263924b1eaa9dc883c6b4e49f039ec8973252c593b955bb8a47879e440047f
SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10-sha256-80ba846adc7fba9290aebb1092bae3babcc80c9b8f07a8fc9236336fd204d581
SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10,GENERATED_FROM,DocumentRef-kubernetes-v1.24.10:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-proxy-arm-v1.24.10
SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10-sha256-58fb86bf4ec691d771943aabbb6887493b764c11c3c0d785e67051a7c2300553
SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10-sha256-91116927fac15da9c7a683d5e4531042757a913019f614bad927e752a1b878b1
SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10-sha256-e19b53f62e687de24f832867253ab743a87e946e16607cabf7b3bef269935853
SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10,GENERATED_FROM,DocumentRef-kubernetes-v1.24.10:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-scheduler-arm-v1.24.10
SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10-sha256-6f9ca7f54c111019a4d74dbc2eda0ec7fa061930e1fdd414796f97e5c288f8a1
SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10-sha256-8eca01faacaa5b61a7fce8dfeb99b144f9a5edc3ee11d314566846c9202e4047
SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10-sha256-7df470802d7eee380ac0ef33fc2d7eb5c20a4786cc1eba1ece971c4856a2844d
SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10,GENERATED_FROM,DocumentRef-kubernetes-v1.24.10:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-apiserver-s390x-v1.24.10
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10-sha256-aaac1b06fbef6adc15352d9a7f3b0d2dc2c2f6728ab3cb6e97c2d769ca515c34
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10-sha256-83addad635bed456164117808da53eea4923b1b82ebad985239e4842daa6f66a
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10-sha256-638d27e148dcb87f3fbea0eda47fa40ca6ec68ef6c811d3463df38ea5e840282
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10,GENERATED_FROM,DocumentRef-kubernetes-v1.24.10:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.24.10
SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10-sha256-6f9ca7f54c111019a4d74dbc2eda0ec7fa061930e1fdd414796f97e5c288f8a1
SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10-sha256-8eca01faacaa5b61a7fce8dfeb99b144f9a5edc3ee11d314566846c9202e4047
SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10-sha256-bd6f029a4c99b3b77cef077f52451335674b96bb240b6cc28085719164b77a1f
SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10,GENERATED_FROM,DocumentRef-kubernetes-v1.24.10:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-scheduler-s390x-v1.24.10
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.24.10-sha256-cb60fb9b862c6a89f92e484bc3b72bbc0352b41166df5c4a68bfb52f52504a7d
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.24.10-sha256-00c562532b203116c721c11aee6fe1fe50b5e2068cee2c343c1df1050a866b3e
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.24.10,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.24.10-sha256-16b32f4e17cd0b1c57cfe9e780c250ffffe7e9fcf5e35cf4830044ede4186c72
