PackageName,SPDXID,PackageDownloadLocation,FilesAnalyzed,PackageLicenseConcluded,PackageLicenseDeclared,PackageCopyrightText,PackageChecksum
N/A,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.24.11-release-tars-kubernetes-node-linux-arm64.tar.gz,N/A,N/A,N/A,N/A,N/A,
conformance-arm64.tar,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 01f1ec121a57f6214a3d87177707d6d9ddf405eb, SHA256: 67ee085ce983b0b13db4ec9dd0b755b3da3c42e26ec7f4f26a86fbdb4744e963, SHA512: 377bf1541d5fc62b183b016546ea664ebfd0cfdca8e652d1123da6c02c320361210529fee68ac37693804a05409f661f62b8f1e16515102e3af9f08d5ae32d85"
sha256:f1e5859e2f1525569076866ff773e5eedbb83941ebf919fe13a7ce1f05fd83ee,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-f1e5859e2f1525569076866ff773e5eedbb83941ebf919fe13a7ce1f05fd83ee,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 6649804149878a92c5a541ebc391ef8330e1e15b, SHA256: f1e5859e2f1525569076866ff773e5eedbb83941ebf919fe13a7ce1f05fd83ee, SHA512: 39ae3a5446eed5a223541ab9b6764c2d026f7d08140c6c181cec0c374bab6b0f08cb07bc51faee8ef68857f2ffb6dfb8947d9c2da97fa7d3c01c9fcf739a5372"
sha256:3f53f0ab435d6244456931009d126bb6a9edd8f9cae31cc55121296e86dfe14b,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-3f53f0ab435d6244456931009d126bb6a9edd8f9cae31cc55121296e86dfe14b,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: a59bccc5f7a2f5b90bb48607ad79e313fa3fb161, SHA256: 3f53f0ab435d6244456931009d126bb6a9edd8f9cae31cc55121296e86dfe14b, SHA512: a7ef3a04990ca1c120bf50f716ab56137277317581ffe0949cc6a731190247764defec0c034bdcbf28e2250da64781fd2c1123f38c95893fb6dd1bbe29901393"
sha256:3455f37c9e33e3616efe593d2cdacfa10eb0ea17ed259bba519f121d25f75097,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-3455f37c9e33e3616efe593d2cdacfa10eb0ea17ed259bba519f121d25f75097,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: cfb502637a73bbde6277aa56aea55a405d96c1e9, SHA256: 3455f37c9e33e3616efe593d2cdacfa10eb0ea17ed259bba519f121d25f75097, SHA512: c6647006ea721961f846ef6946359952b2a1bba1f9772b6862b6372d8f480dd11f0916eab4534224f621ccac4a7c8d3d98b9728d1fdf880b15ca32712e9945b1"
sha256:ce29655a999b549bbdd7b34beddcd1431e1a2f019afd6427604a53ad15be79e6,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-ce29655a999b549bbdd7b34beddcd1431e1a2f019afd6427604a53ad15be79e6,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: c12d86747b43d05cfc58c9b4212e5de12fe49c3e, SHA256: ce29655a999b549bbdd7b34beddcd1431e1a2f019afd6427604a53ad15be79e6, SHA512: 2478fcb85058e883f635b5065d44c0a818bbe52dcae09d2e7380765ca8459f4b7e20d021091f86c001d8faa86c3cd4d703730f4df3cd41cf0326b49b370348bc"
sha256:9c2f5d4aa79aed67de120788d2243c71f50f19cb87543b59ad822ecca0c516e0,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-9c2f5d4aa79aed67de120788d2243c71f50f19cb87543b59ad822ecca0c516e0,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d731d13101f6c856b08daad6ae3ad03557a4fc22, SHA256: 9c2f5d4aa79aed67de120788d2243c71f50f19cb87543b59ad822ecca0c516e0, SHA512: 8b06c5b1eb616d1ab7682f345798f58cafe5e92ee7b64a450758df15dc0ac21e0c0b4a22e20ac9df8f6e231255415dc271256e215e52cce02e0271cc13c20112"
sha256:abc9044044b1b7d3a24e4a28322d5043462dc6c865bd62b081ebd38d7ae2f04b,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-abc9044044b1b7d3a24e4a28322d5043462dc6c865bd62b081ebd38d7ae2f04b,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: d0ff452e526e302df9d784b921a62721f26591a5, SHA256: abc9044044b1b7d3a24e4a28322d5043462dc6c865bd62b081ebd38d7ae2f04b, SHA512: 6b4605813bca83866b5c92a6d14b1efb579edeb38bddc4e891b9f09427834007de88a1664dd3df61bf0546d6d4e470e950020c6e1613e5ca0c336f495939f1ad"
sha256:96a3bbe631b9756a94bed561f54a5dc0af0f96301d5f437d9d2905e495eccef4,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-96a3bbe631b9756a94bed561f54a5dc0af0f96301d5f437d9d2905e495eccef4,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: b08bbd57095b001aeca6039c3b6874c8f3cee607, SHA256: 96a3bbe631b9756a94bed561f54a5dc0af0f96301d5f437d9d2905e495eccef4, SHA512: e1f604ac58a2cd341a060121d1ce326969533c56cacf82e5164a31ad3b51a8f0723ed287cdf56780539ff1f589dd9d8f4c3ac5e5aa41590cc08278a39285db31"
sha256:fe4fcd2f438ccad03017f55fa3781bfe6676f746ff381e8adeaebd8128a3284a,SPDXRef-Package-registry.k8s.io-conformance-arm64-v1.24.11-sha256-fe4fcd2f438ccad03017f55fa3781bfe6676f746ff381e8adeaebd8128a3284a,NONE,false,NOASSERTION,NOASSERTION,NOASSERTION,"SHA1: 91d1491e42eefaf762b49dbd5805ab597ddef24c, SHA256: fe4fcd2f438ccad03017f55fa3781bfe6676f746ff381e8adeaebd8128a3284a, SHA512: 2f2898a43313f5552b8fa93fc8c53f1e56f6857cacdd76afcb9445c80ab428a21cca966206f0a1819f134164494d1ebec5c55e3d7693f02dfd00999fa7d0b560"
