NAME                                                                         VERSION                                            TYPE      
github.com/go-logr/zapr                                                      v1.2.3                                             go-module  
github.com/go-openapi/jsonpointer                                            v0.19.6                                            go-module  
github.com/go-openapi/jsonreference                                          v0.20.2                                            go-module  
github.com/go-openapi/swag                                                   v0.22.3                                            go-module  
github.com/godbus/dbus/v5                                                    v5.0.6                                             go-module  
github.com/gogo/protobuf                                                     v1.3.2                                             go-module  
github.com/golang/groupcache                                                 v0.0.0-20210331224755-41bb18bfe9da                 go-module  
github.com/golang/protobuf                                                   v1.5.3                                             go-module  
github.com/google/cadvisor                                                   v0.47.3                                            go-module  
github.com/google/cel-go                                                     v0.16.0                                            go-module  
github.com/google/gnostic-models                                             v0.6.8                                             go-module  
github.com/google/go-cmp                                                     v0.5.9                                             go-module  
github.com/google/gofuzz                                                     v1.2.0                                             go-module  
github.com/google/uuid                                                       v1.3.0                                             go-module  
github.com/grpc-ecosystem/go-grpc-prometheus                                 v1.2.0                                             go-module  
github.com/grpc-ecosystem/grpc-gateway/v2                                    v2.7.0                                             go-module  
github.com/imdario/mergo                                                     v0.3.6                                             go-module  
github.com/josharian/intern                                                  v1.0.0                                             go-module  
github.com/json-iterator/go                                                  v1.1.12                                            go-module  
github.com/lithammer/dedent                                                  v1.1.0                                             go-module  
github.com/mailru/easyjson                                                   v0.7.7                                             go-module  
github.com/matttproud/golang_protobuf_extensions                             v1.0.4                                             go-module  
github.com/mistifyio/go-zfs                                                  v2.1.2-0.20190413222219-f784269be439+incompatible  go-module  
github.com/moby/ipvs                                                         v1.1.0                                             go-module  
github.com/moby/sys/mountinfo                                                v0.6.2                                             go-module  
github.com/modern-go/concurrent                                              v0.0.0-20180306012644-bacd9c7ef1dd                 go-module  
github.com/modern-go/reflect2                                                v1.0.2                                             go-module  
github.com/munnerz/goautoneg                                                 v0.0.0-20191010083416-a7dc8b61c822                 go-module  
github.com/opencontainers/go-digest                                          v1.0.0                                             go-module  
github.com/opencontainers/runc                                               v1.1.7                                             go-module  
github.com/opencontainers/runtime-spec                                       v1.0.3-0.20220909204839-494a5a6aca78               go-module  
github.com/pkg/errors                                                        v0.9.1                                             go-module  
github.com/prometheus/client_golang                                          v1.16.0                                            go-module  
github.com/prometheus/client_model                                           v0.4.0                                             go-module  
github.com/prometheus/common                                                 v0.44.0                                            go-module  
github.com/prometheus/procfs                                                 v0.10.1                                            go-module  
github.com/sirupsen/logrus                                                   v1.9.0                                             go-module  
github.com/spf13/cobra                                                       v1.7.0                                             go-module  
github.com/spf13/pflag                                                       v1.0.5                                             go-module  
github.com/stoewer/go-strcase                                                v1.2.0                                             go-module  
github.com/vishvananda/netlink                                               v1.1.0                                             go-module  
github.com/vishvananda/netns                                                 v0.0.4                                             go-module  
go.etcd.io/etcd/api/v3                                                       v3.5.9                                             go-module  
go.etcd.io/etcd/client/pkg/v3                                                v3.5.9                                             go-module  
go.etcd.io/etcd/client/v3                                                    v3.5.9                                             go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc  v0.35.0                                            go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                v0.35.1                                            go-module  
go.opentelemetry.io/otel                                                     v1.10.0                                            go-module  
go.opentelemetry.io/otel/exporters/otlp/internal/retry                       v1.10.0                                            go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                            v1.10.0                                            go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc              v1.10.0                                            go-module  
go.opentelemetry.io/otel/metric                                              v0.31.0                                            go-module  
go.opentelemetry.io/otel/sdk                                                 v1.10.0                                            go-module  
go.opentelemetry.io/otel/trace                                               v1.10.0                                            go-module  
go.opentelemetry.io/proto/otlp                                               v0.19.0                                            go-module  
go.uber.org/atomic                                                           v1.10.0                                            go-module  
go.uber.org/multierr                                                         v1.11.0                                            go-module  
go.uber.org/zap                                                              v1.19.0                                            go-module  
golang.org/x/crypto                                                          v0.11.0                                            go-module  
golang.org/x/exp                                                             v0.0.0-20220722155223-a9213eeb770e                 go-module  
golang.org/x/net                                                             v0.12.0                                            go-module  
golang.org/x/oauth2                                                          v0.8.0                                             go-module  
golang.org/x/sync                                                            v0.2.0                                             go-module  
golang.org/x/sys                                                             v0.10.0                                            go-module  
golang.org/x/term                                                            v0.10.0                                            go-module  
golang.org/x/text                                                            v0.11.0                                            go-module  
golang.org/x/time                                                            v0.3.0                                             go-module  
google.golang.org/genproto                                                   v0.0.0-20230526161137-0005af68ea54                 go-module  
google.golang.org/genproto/googleapis/api                                    v0.0.0-20230525234035-dd9d682886f9                 go-module  
google.golang.org/genproto/googleapis/rpc                                    v0.0.0-20230525234030-28d5490b6b19                 go-module  
google.golang.org/grpc                                                       v1.54.0                                            go-module  
google.golang.org/protobuf                                                   v1.30.0                                            go-module  
gopkg.in/inf.v0                                                              v0.9.1                                             go-module  
gopkg.in/natefinch/lumberjack.v2                                             v2.2.1                                             go-module  
gopkg.in/yaml.v2                                                             v2.4.0                                             go-module  
gopkg.in/yaml.v3                                                             v3.0.1                                             go-module  
grep                                                                         3.6-1+deb11u1                                      deb        
ipset                                                                        7.10-1                                             deb        
iptables                                                                     1.8.7-1                                            deb        
k8s.io/klog/v2                                                               v2.100.1                                           go-module  
k8s.io/kube-openapi                                                          v0.0.0-20230717233707-2695361300d9                 go-module  
k8s.io/kubernetes                                                            v1.28.0-rc                                         go-module  
k8s.io/release/images/build/go-runner                                        (devel)                                            go-module  
k8s.io/utils                                                                 v0.0.0-20230406110748-d93618cff8a2                 go-module  
kmod                                                                         28-1                                               deb        
libc6                                                                        2.31-13+deb11u6                                    deb        
libip4tc2                                                                    1.8.7-1                                            deb        
libip6tc2                                                                    1.8.7-1                                            deb        
libipset13                                                                   7.10-1                                             deb        
libkmod2                                                                     28-1                                               deb        
