FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/amd64/kubelet,SPDXRef-File-f836c457dfd1967305cc4c831b6fad0a643f5a13,"SHA1: 51b864ee5d56b374744ac44baaa7fe8b63d5f467, SHA256: 8098de1c5eeeff2b8eab95a1882c003df0e829da5f6c9abf8ee262d321791f7d, SHA512: 801d9cfc393dc9801334eb88af67c751232b6014a236252591de7390f0b7da35587d4461c46508fd100ac34702911b8ad5e2552d4edf4288c24649e9972ce466",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-controller-manager,SPDXRef-File-402dae91e992f2c90364f091677da8fb0c44f210,"SHA1: 9d7abc433ccb78e6d19dd13c530a561e82a82089, SHA256: de01aac509f67ab6464777e41ad1b9ce4fafea40108cf6e656a1a6f7d0cfa342, SHA512: 33a7114fca135e5e51f951a15fdfe6ceabecfe309e48f034bb03da0d3b0786888f6ccad50ac6fc73c9efe3e19a797e5a37deedc5ceb12cfe2615983b619cc4cc",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kube-proxy,SPDXRef-File-3f2a50de15f3462e0d07fbacbf669b00b7e266c6,"SHA1: fc15f5cf89dde5190e843e795c83c5c24f426eda, SHA256: d5092e486be8adf49393d31bf03c2b0fc32ad69e6c10d454266972ae7cdc0b5e, SHA512: d72805ec410b903ea33164155396f5fe5dda24d0f37866c4d1dcfc8150cdc476ce8b8e7de1ea146df2f021b046d34c51e27b78f75c3a51890458921938bd80a9",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kubectl,SPDXRef-File-e5e577d76203e84dcc94696170f641cb9a690e03,"SHA1: fd3d905ab7551681030d59e360a084e3341db3b0, SHA256: d1753537e47dc8bdaef8a7e58ad48740671d9f79cd2aacbe22d8e85b1b354d63, SHA512: a8d842a04c8f2dd8bf29c06a5277c8c6a29abeddfe1d56476ef1cf1dacc812da7814592728f3f2e783377ff1e0881bc5964abf88c4f379d6fec87b14eae14ba8",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/mounter,SPDXRef-File-112cf64ad7dca4f97b973fe4c7aec643003e64e9,"SHA1: 885db8aa456f6fc242cb6ddd6ded1b9085a5c9d2, SHA256: 7567e198f771f3d89e39b5646084640897230ae4498a3cdaf01403046eb7f5ab, SHA512: 3f7950d80c78ca7a0574d4ed865b716ac81402890522eab9416ee6fb0134e12e04cb18079f294aba065c6c1ec861975ec1bc6e3f2b82e7b4e8d038cf01e0be1a",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-node-windows-amd64.tar.gz,SPDXRef-File-eb6c6637e8f23b60673e7468efd37c8a268a019e,"SHA1: 1753c21a1efd9c378254d5051db0b43ae34914f2, SHA256: e08d91ae8ac2a9ff897f0df17551eedc7597bc882b55c6c9f85382a35d282d0f, SHA512: a5bfaf2e3ad8d3d2127c3e3e0f131c615a03563253da6bf0e1fd793f6ef71287f341ce1bd0d35eb9a81e0721a5baf03e7c72863b5ed8eb45e8fe70573904ed54",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/amd64/kube-proxy,SPDXRef-File-2fcbe469075fdeae0a0d9bed1e57c4f9bffca04e,"SHA1: 4cda3508092297b190abca2214969dbe68f1b89b, SHA256: 5fc61fea875a2bb33adb3bbb0630d08dd4e78713272da79ca414095adf233c37, SHA512: 826e94247a44395e5aad90566355fa4e43fa3f36e26e90460fed0216636204c1c4f22f82c4295f339b4f33dec6eb9ec6bee4f4d02e36b9dfb9a6cb72d6a8a9c1",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/apiextensions-apiserver,SPDXRef-File-3ec4f6071707651c534a212baaf303aebdd51de6,"SHA1: 1003f348da449e83d18565cd4a1734e393489daf, SHA256: b5d0e067749e8a521a5bceaf6a2074e7096445230ccae48a0cf1d1c34308f7dd, SHA512: a3bc6faeba759e80471314589f9f2a69cd577e73e1ffb08e095742fd4dcb4730b24e2c117d174826795f59bf5b9769db5480db4a5347515b9669e0ab81a19980",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm/kubeadm,SPDXRef-File-3cd4d9ceb079f5aa672abc81669ad1e6e465ce13,"SHA1: 3c514c54992b1c9ce1413e8d25738ab9346a0e6e, SHA256: aee6b208ee33b59c8465177bd1a3f4c5dbe99ea015cfa87036fc33571d73ce59, SHA512: 3295d7c3344f34b21c852371dfa062d11baf1dd401a9a971af8df861ba4865be53b14856d31b37a0f894970a39a5a146180fb6922ed0a0160805ffdd677a81dd",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kubelet.exe,SPDXRef-File-53cc901a4157c8a4a2318e4cec4316c2c267dc80,"SHA1: 29cb10a4141c5c987912a5699827ecc255284aa4, SHA256: d23879cb9d337b93714f7756d8a5826d3bd9f0dd868e3ad628cca418be3d3d40, SHA512: 9700b9ffc64a496580e4b220a45a09780fca8ce87fbfb47b5a81fed5f43c53ccccc2c4ffb425f97707900ac99469841ee9c3222e01a8a9d315cbde4eff1671b4",Apache-2.0,NOASSERTION,NOASSERTION
