FileName,SPDXID,FileChecksum,LicenseConcluded,LicenseInfoInFile,FileCopyrightText
bin/linux/amd64/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-server-linux-amd64-kubernetes-server-bin-kube-proxy,"SHA1: b80d3efc911b0de2b301401525dde206b4cffdfb, SHA256: 02db3779282e812d3669d2f41f9094be118243c320821cd5aabf4186af93ed64, SHA512: ad20b24652f4d995901feedf1d87dd50883fb5e24cf930fb192cefd1a1eeac4feb46f1a72095a0aac9d109be8698286fafbce764a31afd4ccce98572931cc0cf",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kube-scheduler,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-server-linux-arm64-kubernetes-server-bin-kube-scheduler,"SHA1: e9bf0257212ce5590931e68e55b1c454a7c4d746, SHA256: d93c7ebed77ad2081bfbb2bc102a226f64ec7be82236213a0e1ea4857c921d70, SHA512: 3a7ab15dee377c24dda6d2d58773c5bc3589728fb4d8b35e03cf6b3ba6c4bdea8a6b5498d303b84953aed91c4a6e511bcf51117436f98c47a1998eb271cd9849",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-server-linux-s390x-kubernetes-server-bin-kubectl-convert,"SHA1: b63f9d68b3ed8f316980b96065595ec34703ddaf, SHA256: b2d4bba5d7a6a223010456742ae60eb378c48dafe2045835ff7bd32fde75dcee, SHA512: e6123484423cb310a54637144a577524bb81893e7be7ee6e0fc31e274338162552356ca07176f0a0499585ed8362cccea0816448132dbd857c8c9b3fd2ff4a99",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-client-linux-amd64.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-tars-kubernetes-client-linux-amd64.tar.gz,"SHA1: 7b3952b18a59318b9e7f77b534f6e8733c475921, SHA256: 540ba62e4464321aa2601c1f755558659a64a4176b5ee606af548d2de673839b, SHA512: 626620f7943575f4568b625b27e4df5e43073cf395f5666b7e44424a5964f913a6453e8fdd13990a52ca3187eb15c0e73a5f8d6ca2f297ca842afa0d111a7254",Apache-2.0,NOASSERTION,NOASSERTION
kubernetes-test-linux-ppc64le.tar.gz,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-tars-kubernetes-test-linux-ppc64le.tar.gz,"SHA1: 8fb54bd239a4bf865486ed4c130a07cd86c22e68, SHA256: 5be0697341c86f3d7eb76e0ead95b322e87a2f3515a8f975144bce19baf1f212, SHA512: 955da18bc4ea68ff6e94224e8b712531631997171776ac8ef6057487cfc8bd8c11281f25f22cea51b6ab1ca89814f943c659031b66a1c00588677c7df0b06b34",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/arm64/kube-proxy,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-server-linux-arm64-kubernetes-server-bin-kube-proxy,"SHA1: 1f63b5a043a1fc5c3388dcc0aa721489b3c09598, SHA256: 8c0dc7173c09203f71748d4f85ab7db35f976e830cea0b5a9033ad464edc4c7c, SHA512: f585065e9aeaa6e7aa55928a6d3561b720087ecefa0727c9652931076cee7737f1238f8d9f6000f5da1df7ed550b903cf11986154207be95cfe31caaf55493d7",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/ppc64le/kube-controller-manager,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-controller-manager,"SHA1: 1ceae3c1f6b1e5bd0ce07e045d50e0ce19901267, SHA256: 70ce2355cb3983bfca2b879732223ea998c472431d56b73a502395b80fdd1b03, SHA512: 843d7da517443f47ee84d1cdd1478e6754aa902aeab67f0c40b28d528821b3a4bbd93b9bc946007c7db802d0d2ef91b0675aa4bb7b32924eb8d5b884e48e5ba2",Apache-2.0,NOASSERTION,NOASSERTION
bin/linux/s390x/apiextensions-apiserver,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-server-linux-s390x-kubernetes-server-bin-apiextensions-apiserver,"SHA1: f98ece5aa77110e9b6ba87b0c969552696b78d34, SHA256: 0e6b90ea5af90aec16752365505361f3bc936f87682b5ed47e506bee36038c91, SHA512: a5901110b93a6270425f2c88e56774b914fea6f179e26ba3f0faaf7d341db9bee06015903099623b644877f390f43219f304ae96a3e931563343cd96ff74a5a4",Apache-2.0,NOASSERTION,NOASSERTION
bin/windows/amd64/kubectl-convert.exe,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-node-windows-amd64-kubernetes-node-bin-kubectl-convert.exe,"SHA1: a630eb2e94f6e33e10fca5d7cf27ea4914738280, SHA256: c5b21ba40311b4a2079627b725ae6878d2b1ad85d88dac8f27719374e51f294d, SHA512: eb689e5cd4b7d1b1d465b7e825c405a31cc377602ca985a42d94c614caded36266be5de7c5805423436d8589e9e7607cd768033ceb1134937b27ea3dfbc218ff",Apache-2.0,NOASSERTION,NOASSERTION
bin/darwin/arm64/kubectl-convert,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.23.6-release-stage-client-darwin-arm64-kubernetes-client-bin-kubectl-convert,"SHA1: 7fa42a2355a0757a9fb3b0f9afe801525bbb0580, SHA256: fb1692f59efc434320442a2e4bee6841315a646897ef094773b773514c061ebe, SHA512: a64aa80ba9b8dcc0973ba1fbbad5c1e840923c3b9333a35b48ef4ac8ca33496ddb9477e453034c3a479d539cf8d69a780cbc19832169587c233b64d60068aeae",Apache-2.0,NOASSERTION,NOASSERTION
