kubernetesVersion,dependencyName-Version
kubernetes-1.29.0-alpha.1,github.com/asaskevich/govalidator-v0.0.0-20190424111038-f61b66f89f4a
kubernetes-1.29.0-alpha.1,github.com/jonboulle/clockwork-v0.2.2
kubernetes-1.29.0-alpha.1,sigs.k8s.io/yaml-v1.3.0
kubernetes-1.29.0-alpha.1,k8s.io/apiextensions-apiserver-v0.0.0
kubernetes-1.29.0-alpha.1,golang.org/x/tools-v0.8.0
kubernetes-1.29.0-alpha.1,github.com/go-errors/errors-v1.4.2
kubernetes-1.29.0-alpha.1,github.com/matttproud/golang_protobuf_extensions-v1.0.4
kubernetes-1.29.0-alpha.1,github.com/checkpoint-restore/go-criu/v5-v5.3.0
kubernetes-1.29.0-alpha.1,github.com/go-logr/stdr-v1.2.2
kubernetes-1.29.0-alpha.1,golang.org/x/text-v0.11.0
kubernetes-1.29.0-alpha.1,golang.org/x/crypto-v0.11.0
kubernetes-1.29.0-alpha.1,github.com/containerd/cgroups-v1.1.0
kubernetes-1.29.0-alpha.1,cloud.google.com/go/compute/metadata-v0.2.3
kubernetes-1.29.0-alpha.1,github.com/xlab/treeprint-v1.2.0
kubernetes-1.29.0-alpha.1,go.uber.org/multierr-v1.11.0
kubernetes-1.29.0-alpha.1,github.com/godbus/dbus/v5-v5.0.6
kubernetes-1.29.0-alpha.1,github.com/stoewer/go-strcase-v1.2.0
kubernetes-1.29.0-alpha.1,go.etcd.io/etcd/api/v3-v3.5.9
kubernetes-1.29.0-alpha.1,k8s.io/kubelet-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/logger-v0.2.1
kubernetes-1.29.0-alpha.1,github.com/josharian/intern-v1.0.0
kubernetes-1.29.0-alpha.1,github.com/containerd/console-v1.0.3
kubernetes-1.29.0-alpha.1,github.com/monochromegane/go-gitignore-v0.0.0-20200626010858-205db1a8cc00
kubernetes-1.29.0-alpha.1,github.com/liggitt/tabwriter-v0.0.0-20181228230101-89fcab3d43de
kubernetes-1.29.0-alpha.1,github.com/antlr/antlr4/runtime/Go/antlr/v4-v4.0.0-20230305170008-8188dc5388df
kubernetes-1.29.0-alpha.1,k8s.io/client-go-v0.0.0
kubernetes-1.29.0-alpha.1,k8s.io/cri-api-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/spf13/pflag-v1.0.5
kubernetes-1.29.0-alpha.1,github.com/modern-go/reflect2-v1.0.2
kubernetes-1.29.0-alpha.1,github.com/soheilhy/cmux-v0.1.5
kubernetes-1.29.0-alpha.1,k8s.io/apimachinery-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/prometheus/common-v0.44.0
kubernetes-1.29.0-alpha.1,k8s.io/component-helpers-v0.0.0
kubernetes-1.29.0-alpha.1,k8s.io/cli-runtime-v0.0.0
kubernetes-1.29.0-alpha.1,k8s.io/kube-openapi-v0.0.0-20230905202853-d090da108d2f
kubernetes-1.29.0-alpha.1,github.com/go-openapi/jsonreference-v0.20.2
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/otel-v1.10.0
kubernetes-1.29.0-alpha.1,github.com/opencontainers/runc-v1.1.9
kubernetes-1.29.0-alpha.1,github.com/mrunalp/fileutils-v0.5.0
kubernetes-1.29.0-alpha.1,k8s.io/controller-manager-v0.0.0
kubernetes-1.29.0-alpha.1,go.etcd.io/etcd/raft/v3-v3.5.9
kubernetes-1.29.0-alpha.1,github.com/vmware/govmomi-v0.30.6
kubernetes-1.29.0-alpha.1,github.com/coreos/go-semver-v0.3.1
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/autorest/date-v0.3.0
kubernetes-1.29.0-alpha.1,github.com/cilium/ebpf-v0.9.1
kubernetes-1.29.0-alpha.1,go.opencensus.io-v0.24.0
kubernetes-1.29.0-alpha.1,github.com/googleapis/gax-go/v2-v2.7.1
kubernetes-1.29.0-alpha.1,github.com/container-storage-interface/spec-v1.8.0
kubernetes-1.29.0-alpha.1,gopkg.in/yaml.v2-v2.4.0
kubernetes-1.29.0-alpha.1,github.com/felixge/httpsnoop-v1.0.3
kubernetes-1.29.0-alpha.1,github.com/vishvananda/netns-v0.0.4
kubernetes-1.29.0-alpha.1,gopkg.in/natefinch/lumberjack.v2-v2.2.1
kubernetes-1.29.0-alpha.1,github.com/google/gofuzz-v1.2.0
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/proto/otlp-v0.19.0
kubernetes-1.29.0-alpha.1,github.com/go-logr/logr-v1.2.4
kubernetes-1.29.0-alpha.1,github.com/beorn7/perks-v1.0.1
kubernetes-1.29.0-alpha.1,k8s.io/kms-v0.0.0
kubernetes-1.29.0-alpha.1,google.golang.org/grpc-v1.54.0
kubernetes-1.29.0-alpha.1,golang.org/x/sync-v0.2.0
kubernetes-1.29.0-alpha.1,github.com/mohae/deepcopy-v0.0.0-20170603005431-491d3605edfb
kubernetes-1.29.0-alpha.1,github.com/cespare/xxhash/v2-v2.2.0
kubernetes-1.29.0-alpha.1,go.uber.org/goleak-v1.2.1
kubernetes-1.29.0-alpha.1,github.com/distribution/reference-v0.5.0
kubernetes-1.29.0-alpha.1,github.com/GoogleCloudPlatform/k8s-cloud-provider-v1.18.1-0.20220218231025-f11817397a1b
kubernetes-1.29.0-alpha.1,github.com/davecgh/go-spew-v1.1.1
kubernetes-1.29.0-alpha.1,github.com/euank/go-kmsg-parser-v2.0.0
kubernetes-1.29.0-alpha.1,golang.org/x/exp-v0.0.0-20220722155223-a9213eeb770e
kubernetes-1.29.0-alpha.1,github.com/grpc-ecosystem/grpc-gateway/v2-v2.7.0
kubernetes-1.29.0-alpha.1,github.com/containerd/ttrpc-v1.2.2
kubernetes-1.29.0-alpha.1,github.com/mitchellh/go-wordwrap-v1.0.1
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/tracing-v0.6.0
kubernetes-1.29.0-alpha.1,github.com/gofrs/uuid-v4.4.0
kubernetes-1.29.0-alpha.1,github.com/vishvananda/netlink-v1.1.0
kubernetes-1.29.0-alpha.1,github.com/NYTimes/gziphandler-v1.1.1
kubernetes-1.29.0-alpha.1,k8s.io/kube-scheduler-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/moby/ipvs-v1.1.0
kubernetes-1.29.0-alpha.1,sigs.k8s.io/json-v0.0.0-20221116044647-bc3834ca7abd
kubernetes-1.29.0-alpha.1,google.golang.org/api-v0.114.0
kubernetes-1.29.0-alpha.1,github.com/google/cadvisor-v0.47.3
kubernetes-1.29.0-alpha.1,sigs.k8s.io/kustomize/kyaml-v0.14.3-0.20230601165947-6ce0bf390ce3
kubernetes-1.29.0-alpha.1,sigs.k8s.io/kustomize/kustomize/v5-v5.0.4-0.20230601165947-6ce0bf390ce3
kubernetes-1.29.0-alpha.1,github.com/xiang90/probing-v0.0.0-20190116061207-43a291ad63a2
kubernetes-1.29.0-alpha.1,github.com/grpc-ecosystem/grpc-gateway-v1.16.0
kubernetes-1.29.0-alpha.1,gopkg.in/yaml.v3-v3.0.1
kubernetes-1.29.0-alpha.1,github.com/onsi/gomega-v1.27.6
kubernetes-1.29.0-alpha.1,github.com/golang/groupcache-v0.0.0-20210331224755-41bb18bfe9da
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc-v0.35.0
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/otel/metric-v0.31.0
kubernetes-1.29.0-alpha.1,github.com/evanphx/json-patch-v4.12.0
kubernetes-1.29.0-alpha.1,k8s.io/kube-aggregator-v0.0.0
kubernetes-1.29.0-alpha.1,k8s.io/endpointslice-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/munnerz/goautoneg-v0.0.0-20191010083416-a7dc8b61c822
kubernetes-1.29.0-alpha.1,github.com/prometheus/client_model-v0.4.0
kubernetes-1.29.0-alpha.1,github.com/mistifyio/go-zfs-v2.1.2-0.20190413222219-f784269be439
kubernetes-1.29.0-alpha.1,github.com/googleapis/enterprise-certificate-proxy-v0.2.3
kubernetes-1.29.0-alpha.1,github.com/karrick/godirwalk-v1.17.0
kubernetes-1.29.0-alpha.1,github.com/spf13/cobra-v1.7.0
kubernetes-1.29.0-alpha.1,github.com/libopenstorage/openstorage-v1.0.0
kubernetes-1.29.0-alpha.1,k8s.io/cloud-provider-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/syndtr/gocapability-v0.0.0-20200815063812-42c35b437635
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/otel/trace-v1.10.0
kubernetes-1.29.0-alpha.1,github.com/mxk/go-flowrate-v0.0.0-20140419014527-cca7078d478f
kubernetes-1.29.0-alpha.1,github.com/imdario/mergo-v0.3.6
kubernetes-1.29.0-alpha.1,k8s.io/component-base-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/pkg/errors-v0.9.1
kubernetes-1.29.0-alpha.1,github.com/docker/go-units-v0.5.0
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/autorest/mocks-v0.4.2
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/autorest/to-v0.4.0
kubernetes-1.29.0-alpha.1,github.com/coredns/caddy-v1.1.1
kubernetes-1.29.0-alpha.1,github.com/json-iterator/go-v1.1.12
kubernetes-1.29.0-alpha.1,github.com/emicklei/go-restful/v3-v3.9.0
kubernetes-1.29.0-alpha.1,github.com/pmezard/go-difflib-v1.0.0
kubernetes-1.29.0-alpha.1,github.com/gregjones/httpcache-v0.0.0-20180305231024-9cad4c3443a7
kubernetes-1.29.0-alpha.1,github.com/blang/semver/v4-v4.0.0
kubernetes-1.29.0-alpha.1,github.com/google/btree-v1.0.1
kubernetes-1.29.0-alpha.1,k8s.io/metrics-v0.0.0
kubernetes-1.29.0-alpha.1,k8s.io/pod-security-admission-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/fsnotify/fsnotify-v1.6.0
kubernetes-1.29.0-alpha.1,go.opentelemetry.io/otel/sdk-v1.10.0
kubernetes-1.29.0-alpha.1,github.com/gorilla/websocket-v1.5.0
kubernetes-1.29.0-alpha.1,github.com/exponent-io/jsonpath-v0.0.0-20151013193312-d6023ce2651d
kubernetes-1.29.0-alpha.1,github.com/Azure/go-autorest/autorest/adal-v0.9.23
kubernetes-1.29.0-alpha.1,github.com/google/go-cmp-v0.5.9
kubernetes-1.29.0-alpha.1,go.etcd.io/etcd/client/v2-v2.305.9
kubernetes-1.29.0-alpha.1,github.com/onsi/ginkgo/v2-v2.9.4
kubernetes-1.29.0-alpha.1,github.com/google/shlex-v0.0.0-20191202100458-e7afc7fbc510
kubernetes-1.29.0-alpha.1,github.com/rubiojr/go-vhd-v0.0.0-20200706105327-02e210299021
kubernetes-1.29.0-alpha.1,github.com/grpc-ecosystem/go-grpc-middleware-v1.3.0
kubernetes-1.29.0-alpha.1,golang.org/x/time-v0.3.0
kubernetes-1.29.0-alpha.1,github.com/armon/circbuf-v0.0.0-20150827004946-bbbad097214e
kubernetes-1.29.0-alpha.1,golang.org/x/term-v0.10.0
kubernetes-1.29.0-alpha.1,gopkg.in/warnings.v0-v0.1.2
kubernetes-1.29.0-alpha.1,github.com/cyphar/filepath-securejoin-v0.2.3
kubernetes-1.29.0-alpha.1,github.com/coreos/go-systemd/v22-v22.5.0
kubernetes-1.29.0-alpha.1,k8s.io/legacy-cloud-providers-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/grpc-ecosystem/go-grpc-prometheus-v1.2.0
kubernetes-1.29.0-alpha.1,go.etcd.io/bbolt-v1.3.7
kubernetes-1.29.0-alpha.1,k8s.io/kube-controller-manager-v0.0.0
kubernetes-1.29.0-alpha.1,github.com/moby/spdystream-v0.2.0
kubernetes-1.29.0-alpha.1,github.com/golang-jwt/jwt/v4-v4.5.0
kubernetes-1.29.0-alpha.1,go.starlark.net-v0.0.0-20230525235612-a134d8f9ddca
kubernetes-1.29.0-alpha.1,github.com/daviddengcn/go-colortext-v1.0.0
kubernetes-1.29.0-alpha.1,google.golang.org/genproto/googleapis/api-v0.0.0-20230525234035-dd9d682886f9
kubernetes-1.29.0-alpha.1,go.etcd.io/etcd/client/v3-v3.5.9
kubernetes-1.29.0-alpha.1,github.com/russross/blackfriday/v2-v2.1.0
kubernetes-1.28.2,go.etcd.io/etcd/server/v3-v3.5.9
kubernetes-1.28.2,github.com/GoogleCloudPlatform/k8s-cloud-provider-v1.18.1-0.20220218231025-f11817397a1b
kubernetes-1.28.2,github.com/peterbourgon/diskv-v2.0.1
kubernetes-1.28.2,github.com/google/cel-go-v0.16.1
kubernetes-1.28.2,github.com/stoewer/go-strcase-v1.2.0
kubernetes-1.28.2,golang.org/x/mod-v0.10.0
kubernetes-1.28.2,github.com/Azure/go-autorest/autorest/adal-v0.9.23
kubernetes-1.28.2,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp-v0.35.1
kubernetes-1.28.2,github.com/cilium/ebpf-v0.9.1
kubernetes-1.28.2,github.com/armon/circbuf-v0.0.0-20150827004946-bbbad097214e
kubernetes-1.28.2,github.com/blang/semver/v4-v4.0.0
kubernetes-1.28.2,github.com/mitchellh/go-wordwrap-v1.0.1
kubernetes-1.28.2,github.com/containerd/ttrpc-v1.2.2
kubernetes-1.28.2,github.com/golang/groupcache-v0.0.0-20210331224755-41bb18bfe9da
kubernetes-1.28.2,k8s.io/component-helpers-v0.0.0
kubernetes-1.28.2,github.com/prometheus/client_model-v0.4.0
kubernetes-1.28.2,github.com/syndtr/gocapability-v0.0.0-20200815063812-42c35b437635
kubernetes-1.28.2,go.uber.org/zap-v1.19.0
kubernetes-1.28.2,github.com/beorn7/perks-v1.0.1
kubernetes-1.28.2,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc-v0.35.0
kubernetes-1.28.2,k8s.io/legacy-cloud-providers-v0.0.0
kubernetes-1.28.2,github.com/imdario/mergo-v0.3.6
kubernetes-1.28.2,k8s.io/klog/v2-v2.100.1
kubernetes-1.28.2,github.com/modern-go/reflect2-v1.0.2
kubernetes-1.28.2,sigs.k8s.io/kustomize/api-v0.13.5-0.20230601165947-6ce0bf390ce3
kubernetes-1.28.2,github.com/Azure/azure-sdk-for-go-v68.0.0
kubernetes-1.28.2,k8s.io/utils-v0.0.0-20230406110748-d93618cff8a2
kubernetes-1.28.2,k8s.io/apimachinery-v0.0.0
kubernetes-1.28.2,github.com/opencontainers/runtime-spec-v1.0.3-0.20220909204839-494a5a6aca78
kubernetes-1.28.2,go.etcd.io/etcd/api/v3-v3.5.9
kubernetes-1.28.2,gopkg.in/warnings.v0-v0.1.2
kubernetes-1.28.2,github.com/coreos/go-systemd/v22-v22.5.0
kubernetes-1.28.2,github.com/moby/term-v0.0.0-20221205130635-1aeaba878587
kubernetes-1.28.2,golang.org/x/oauth2-v0.8.0
kubernetes-1.28.2,github.com/felixge/httpsnoop-v1.0.3
kubernetes-1.28.2,github.com/asaskevich/govalidator-v0.0.0-20190424111038-f61b66f89f4a
kubernetes-1.28.2,github.com/dustin/go-humanize-v1.0.1
kubernetes-1.28.2,k8s.io/system-validators-v1.8.0
kubernetes-1.28.2,github.com/go-logr/zapr-v1.2.3
kubernetes-1.28.2,k8s.io/cloud-provider-v0.0.0
kubernetes-1.28.2,github.com/pmezard/go-difflib-v1.0.0
kubernetes-1.28.2,github.com/googleapis/gax-go/v2-v2.7.1
kubernetes-1.28.2,github.com/liggitt/tabwriter-v0.0.0-20181228230101-89fcab3d43de
kubernetes-1.28.2,github.com/fatih/camelcase-v1.0.0
kubernetes-1.28.2,go.opentelemetry.io/contrib/instrumentation/github.com/emicklei/go-restful/otelrestful-v0.35.0
kubernetes-1.28.2,go.etcd.io/etcd/raft/v3-v3.5.9
kubernetes-1.28.2,github.com/josharian/intern-v1.0.0
kubernetes-1.28.2,k8s.io/kube-proxy-v0.0.0
kubernetes-1.28.2,github.com/Azure/go-autorest/autorest/mocks-v0.4.2
kubernetes-1.28.2,k8s.io/apiextensions-apiserver-v0.0.0
kubernetes-1.28.2,github.com/xlab/treeprint-v1.2.0
kubernetes-1.28.2,github.com/go-openapi/jsonpointer-v0.19.6
kubernetes-1.28.2,k8s.io/component-base-v0.0.0
kubernetes-1.28.2,github.com/grpc-ecosystem/grpc-gateway/v2-v2.7.0
kubernetes-1.28.2,k8s.io/client-go-v0.0.0
kubernetes-1.28.2,github.com/fsnotify/fsnotify-v1.6.0
kubernetes-1.28.2,github.com/MakeNowJust/heredoc-v1.0.0
kubernetes-1.28.2,github.com/grpc-ecosystem/go-grpc-middleware-v1.3.0
kubernetes-1.28.2,go.etcd.io/etcd/client/v3-v3.5.9
kubernetes-1.28.2,k8s.io/dynamic-resource-allocation-v0.0.0
kubernetes-1.28.2,golang.org/x/crypto-v0.11.0
kubernetes-1.28.2,go.opentelemetry.io/otel/exporters/otlp/internal/retry-v1.10.0
kubernetes-1.28.2,k8s.io/kube-controller-manager-v0.0.0
kubernetes-1.28.2,github.com/container-storage-interface/spec-v1.8.0
kubernetes-1.28.2,k8s.io/kube-aggregator-v0.0.0
kubernetes-1.28.2,github.com/gregjones/httpcache-v0.0.0-20180305231024-9cad4c3443a7
kubernetes-1.28.2,github.com/soheilhy/cmux-v0.1.5
kubernetes-1.28.2,k8s.io/mount-utils-v0.0.0
kubernetes-1.28.2,github.com/google/btree-v1.0.1
kubernetes-1.28.2,github.com/go-errors/errors-v1.4.2
kubernetes-1.28.2,k8s.io/cli-runtime-v0.0.0
kubernetes-1.28.2,github.com/json-iterator/go-v1.1.12
kubernetes-1.28.2,golang.org/x/term-v0.10.0
kubernetes-1.28.2,github.com/vmware/govmomi-v0.30.0
kubernetes-1.28.2,github.com/Azure/go-autorest/tracing-v0.6.0
kubernetes-1.28.2,google.golang.org/protobuf-v1.30.0
kubernetes-1.28.2,github.com/godbus/dbus/v5-v5.0.6
kubernetes-1.28.2,go.etcd.io/etcd/pkg/v3-v3.5.9
kubernetes-1.28.2,github.com/Azure/go-autorest/autorest/to-v0.4.0
kubernetes-1.28.2,google.golang.org/grpc-v1.54.0
kubernetes-1.28.2,gopkg.in/natefinch/lumberjack.v2-v2.2.1
kubernetes-1.28.2,github.com/containerd/cgroups-v1.1.0
kubernetes-1.28.2,go.opentelemetry.io/otel/trace-v1.10.0
kubernetes-1.28.2,github.com/Azure/go-autorest/logger-v0.2.1
kubernetes-1.28.2,cloud.google.com/go/compute/metadata-v0.2.3
kubernetes-1.28.2,github.com/xiang90/probing-v0.0.0-20190116061207-43a291ad63a2
kubernetes-1.28.2,github.com/lithammer/dedent-v1.1.0
kubernetes-1.28.2,github.com/google/cadvisor-v0.47.3
kubernetes-1.28.2,github.com/emicklei/go-restful/v3-v3.9.0
kubernetes-1.28.2,github.com/russross/blackfriday/v2-v2.1.0
kubernetes-1.28.2,github.com/prometheus/common-v0.44.0
kubernetes-1.28.2,github.com/prometheus/client_golang-v1.16.0
kubernetes-1.28.2,github.com/google/gofuzz-v1.2.0
kubernetes-1.28.2,k8s.io/metrics-v0.0.0
kubernetes-1.28.2,gopkg.in/yaml.v3-v3.0.1
kubernetes-1.28.2,github.com/munnerz/goautoneg-v0.0.0-20191010083416-a7dc8b61c822
kubernetes-1.28.2,gopkg.in/square/go-jose.v2-v2.6.0
kubernetes-1.28.2,github.com/grpc-ecosystem/grpc-gateway-v1.16.0
kubernetes-1.28.2,github.com/opencontainers/selinux-v1.10.0
kubernetes-1.28.2,github.com/google/shlex-v0.0.0-20191202100458-e7afc7fbc510
kubernetes-1.28.2,google.golang.org/api-v0.114.0
kubernetes-1.28.2,github.com/onsi/ginkgo/v2-v2.9.4
kubernetes-1.28.2,sigs.k8s.io/kustomize/kyaml-v0.14.3-0.20230601165947-6ce0bf390ce3
kubernetes-1.28.2,sigs.k8s.io/structured-merge-diff/v4-v4.2.3
kubernetes-1.28.2,github.com/containerd/console-v1.0.3
kubernetes-1.28.2,go.etcd.io/etcd/client/v2-v2.305.9
kubernetes-1.28.2,github.com/jonboulle/clockwork-v0.2.2
kubernetes-1.28.2,sigs.k8s.io/apiserver-network-proxy/konnectivity-client-v0.1.2
kubernetes-1.28.2,github.com/mrunalp/fileutils-v0.5.0
kubernetes-1.28.2,github.com/docker/distribution-v2.8.2
kubernetes-1.28.2,gopkg.in/inf.v0-v0.9.1
kubernetes-1.28.2,github.com/sirupsen/logrus-v1.9.0
kubernetes-1.28.2,golang.org/x/sys-v0.10.0
kubernetes-1.28.2,k8s.io/endpointslice-v0.0.0
kubernetes-1.28.2,github.com/euank/go-kmsg-parser-v2.0.0
kubernetes-1.28.2,k8s.io/kube-openapi-v0.0.0-20230717233707-2695361300d9
kubernetes-1.28.2,go.etcd.io/etcd/client/pkg/v3-v3.5.9
kubernetes-1.28.2,github.com/spf13/pflag-v1.0.5
kubernetes-1.28.2,github.com/exponent-io/jsonpath-v0.0.0-20151013193312-d6023ce2651d
kubernetes-1.28.2,github.com/cespare/xxhash/v2-v2.2.0
kubernetes-1.28.2,github.com/coredns/caddy-v1.1.1
kubernetes-1.28.2,golang.org/x/exp-v0.0.0-20220722155223-a9213eeb770e
kubernetes-1.28.2,k8s.io/kms-v0.0.0
kubernetes-1.28.2,github.com/moby/sys/mountinfo-v0.6.2
kubernetes-1.28.2,github.com/opencontainers/runc-v1.1.7
kubernetes-1.28.2,github.com/pkg/errors-v0.9.1
kubernetes-1.28.2,go.uber.org/multierr-v1.11.0
kubernetes-1.28.2,github.com/google/go-cmp-v0.5.9
