dependencyName-Version,dependencyName,dependencyVersion,SPDXID
github.com/coreos/etcd-v3.3.10,github.com/coreos/etcd,v3.3.10,"SPDXRef-Package-gomod-github.com-coreos-etcd-v3.3.10C43incompatible
"
github.com/imdario/mergo-v0.3.5,github.com/imdario/mergo,v0.3.5,"SPDXRef-Package-gomod-github.com-imdario-mergo-v0.3.5
"
github.com/go-openapi/errors-v0.17.2,github.com/go-openapi/errors,v0.17.2,"SPDXRef-Package-gomod-github.com-go-openapi-errors-v0.17.2
"
go.uber.org/atomic-v0.0.0-20181018215023-8dc6146f7569,go.uber.org/atomic,v0.0.0-20181018215023-8dc6146f7569,"SPDXRef-Package-gomod-go.uber.org-atomic-v0.0.0-20181018215023-8dc6146f7569
"
k8s.io/cri-api-v0.0.0,k8s.io/cri-api,v0.0.0,"SPDXRef-Package-gomod-k8s.io-cri-api-v0.0.0
"
google.golang.org/genproto-v0.0.0-20170731182057-09f6ed296fc6,google.golang.org/genproto,v0.0.0-20170731182057-09f6ed296fc6,"SPDXRef-Package-gomod-google.golang.org-genproto-v0.0.0-20170731182057-09f6ed296fc6
"
github.com/coreos/go-oidc-v0.0.0-20180117170138-065b426bd416,github.com/coreos/go-oidc,v0.0.0-20180117170138-065b426bd416,"SPDXRef-Package-gomod-github.com-coreos-go-oidc-v0.0.0-20180117170138-065b426bd416
"
github.com/opencontainers/runc-v0.0.0-20181113202123-f000fe11ece1,github.com/opencontainers/runc,v0.0.0-20181113202123-f000fe11ece1,"SPDXRef-Package-gomod-github.com-opencontainers-runc-v0.0.0-20181113202123-f000fe11ece1
"
github.com/globalsign/mgo-v0.0.0-20181015135952-eeefdecb41b8,github.com/globalsign/mgo,v0.0.0-20181015135952-eeefdecb41b8,"SPDXRef-Package-gomod-github.com-globalsign-mgo-v0.0.0-20181015135952-eeefdecb41b8
"
github.com/mindprince/gonvml-v0.0.0-20171110221305-fee913ce8fb2,github.com/mindprince/gonvml,v0.0.0-20171110221305-fee913ce8fb2,"SPDXRef-Package-gomod-github.com-mindprince-gonvml-v0.0.0-20171110221305-fee913ce8fb2
"
