NAME                            VERSION                      TYPE   
libpcre2-8-0                    10.32-5                      deb     
libpcre3                        2:8.39-12                    deb     
libperl5.28                     5.28.1-6+deb10u1             deb     
libpopt0                        1.16-12                      deb     
libpsl5                         0.20.2-2                     deb     
libpython-stdlib                2.7.16-1                     deb     
libpython2-stdlib               2.7.16-1                     deb     
libpython2.7                    2.7.16-2+deb10u1             deb     
libpython2.7-minimal            2.7.16-2+deb10u1             deb     
libpython2.7-stdlib             2.7.16-2+deb10u1             deb     
libpython3-stdlib               3.7.3-1                      deb     
libpython3.7                    3.7.3-2+deb10u2              deb     
libpython3.7-minimal            3.7.3-2+deb10u2              deb     
libpython3.7-stdlib             3.7.3-2+deb10u2              deb     
librados2                       12.2.11+dfsg1-2.1+b1         deb     
libradosstriper1                12.2.11+dfsg1-2.1+b1         deb     
librbd1                         12.2.11+dfsg1-2.1+b1         deb     
librdmacm1                      22.1-1                       deb     
libreadline5                    5.2+dfsg-3+b13               deb     
libreadline7                    7.0-5                        deb     
librtmp1                        2.4+20151223.gitfa8646d.1-2  deb     
libsasl2-2                      2.1.27+dfsg-1+deb10u1        deb     
libsasl2-modules-db             2.1.27+dfsg-1+deb10u1        deb     
libseccomp2                     2.3.3-4                      deb     
libselinux1                     2.8-1+b1                     deb     
libsemanage-common              2.8-2                        deb     
libsemanage1                    2.8-2                        deb     
libsepol1                       2.8-1                        deb     
libsmartcols1                   2.33.1-0.1                   deb     
libsnappy1v5                    1.1.7-1                      deb     
libsqlite3-0                    3.27.2-3                     deb     
libss2                          1.44.5-1+deb10u3             deb     
libssh2-1                       1.8.0-2.1                    deb     
libssl1.1                       1.1.1d-0+deb10u3             deb     
libstdc++6                      8.3.0-6                      deb     
libsystemd0                     241-7~deb10u4                deb     
libtalloc2                      2.1.14-2                     deb     
libtasn1-6                      4.13-3                       deb     
libtcmalloc-minimal4            2.7-1                        deb     
libtinfo6                       6.1+20181013-2+deb10u2       deb     
libtirpc-common                 1.1.4-0.4                    deb     
libtirpc3                       1.1.4-0.4                    deb     
libudev1                        241-7~deb10u4                deb     
libunistring2                   0.9.10-1                     deb     
liburcu6                        0.10.2-1                     deb     
libuuid1                        2.33.1-0.1                   deb     
libwbclient0                    2:4.9.5+dfsg-5+deb10u1       deb     
libwrap0                        7.6.q-28                     deb     
libxml2                         2.9.4+dfsg1-7+b3             deb     
libxtables12                    1.8.3-2~bpo10+1              deb     
libzstd1                        1.3.8+dfsg-3                 deb     
linux-libc-dev                  4.19.132-1                   deb     
login                           1:4.5-1.1                    deb     
lsb-base                        10.2019051400                deb     
mawk                            1.3.3-17+b3                  deb     
mime-support                    3.62                         deb     
mount                           2.33.1-0.1                   deb     
netbase                         5.6                          deb     
nfs-common                      1:1.3.4-2.5+deb10u1          deb     
openssh-client                  1:7.9p1-10+deb10u2           deb     
openssl                         1.1.1d-0+deb10u3             deb     
passwd                          1:4.5-1.1                    deb     
perl                            5.28.1-6+deb10u1             deb     
perl-base                       5.28.1-6+deb10u1             deb     
perl-modules-5.28               5.28.1-6+deb10u1             deb     
prettytable                     0.7.2                        python  
psmisc                          23.2-1                       deb     
python                          2.7.16-1                     deb     
python-cephfs                   12.2.11+dfsg1-2.1+b1         deb     
python-certifi                  2018.8.24-1                  deb     
python-chardet                  3.0.4-3                      deb     
python-idna                     2.6-1                        deb     
python-minimal                  2.7.16-1                     deb     
python-pkg-resources            40.8.0-1                     deb     
python-prettytable              0.7.2-4                      deb     
python-rados                    12.2.11+dfsg1-2.1+b1         deb     
python-rbd                      12.2.11+dfsg1-2.1+b1         deb     
python-requests                 2.21.0-1                     deb     
python-six                      1.12.0-1                     deb     
python-urllib3                  1.24.1-1                     deb     
python2                         2.7.16-1                     deb     
python2-minimal                 2.7.16-1                     deb     
python2.7                       2.7.16-2+deb10u1             deb     
python2.7-minimal               2.7.16-2+deb10u1             deb     
python3                         3.7.3-1                      deb     
python3-certifi                 2018.8.24-1                  deb     
python3-chardet                 3.0.4-3                      deb     
python3-idna                    2.6-1                        deb     
python3-jwt                     1.7.0-2                      deb     
python3-minimal                 3.7.3-1                      deb     
python3-pkg-resources           40.8.0-1                     deb     
python3-prettytable             0.7.2-4                      deb     
python3-requests                2.21.0-1                     deb     
python3-six                     1.12.0-1                     deb     
python3-urllib3                 1.24.1-1                     deb     
python3.7                       3.7.3-2+deb10u2              deb     
python3.7-minimal               3.7.3-2+deb10u2              deb     
rados                           2.0.0                        python  
rbd                             2.0.0                        python  
readline-common                 7.0-5                        deb     
requests                        2.21.0                       python  
rpcbind                         1.2.5-0.3+deb10u1            deb     
sed                             4.7-1                        deb     
sensible-utils                  0.0.12                       deb     
six                             1.12.0                       python  
socat                           1.7.3.2-2                    deb     
tar                             1.30+dfsg-6                  deb     
ucf                             3.0038+nmu1                  deb     
udev                            241-7~deb10u4                deb     
urllib3                         1.24.1                       python  
util-linux                      2.33.1-0.1                   deb     
wsgiref                         0.1.2                        python  
xfsprogs                        4.20.0-1                     deb     
zlib1g                          1:1.2.11.dfsg-1              deb
